出表日期,百分比,公司名稱,date
1100427,80 以上,"2025    千興  85.30
2317    鴻海  82.99
5608    四維航  81.45
2206    三陽工業  80.85
2545    皇翔  80.55
",2026-05-15
1100427,70 以上,"8341    日友  78.47
1805    寶徠  78.11
2812    台中銀  76.53
5519    隆大  75.60
1314    中石化  75.30
4994    傳奇  75.27
2637    慧洋-KY  74.63
1338    廣華-KY  74.35
1312    國喬  70.10
",2026-05-15
1100427,60 以上,"2461    光群雷  69.00
3050    鈺德  64.88
1464    得力  64.74
6289    華上  64.63
2348    海悅  64.48
2515    中工  63.50
1718    中纖  62.73
2514    龍邦  62.56
2358    廷鑫  62.34
2849    安泰銀  61.55
1592    英瑞-KY  60.16
",2026-05-15
1100427,50 以上,"2236    百達-KY  59.16
3032    偉訓  55.84
2543    皇昌  55.44
9929    秋雨  54.80
2420    新巨  54.44
2017    官田鋼  54.07
5388    中磊  53.73
1218    泰山  53.43
6139    亞翔  52.48
3164    景岳  51.49
2910    統領  51.45
",2026-05-15
1100427,40 以上,"2883    開發金  49.93
3312    弘憶股  49.55
4989    榮科  49.39
6655    科定  48.86
6184    大豐電  48.74
2809    京城銀  48.42
2405    浩鑫  48.03
4164    承業醫  47.82
2406    國碩  47.80
3055    蔚華科  47.58
3229    晟鈦  46.99
3059    華晶科  45.38
1459    聯發  45.12
2528    皇普  45.03
2373    震旦行  43.74
2401    凌陽  43.73
1435    中福  43.17
8443    阿瘦  42.80
3535    晶彩科  42.61
2939    凱羿-KY  42.41
2455    全新  41.98
1414    東和  41.96
2371    大同  41.93
6215    和椿  41.33
2417    圓剛  40.97
8011    台通  40.80
1903    士紙  40.61
3588    通嘉  40.54
5706    鳳凰  40.37
1609    大亞  40.35
",2026-05-15
1100427,30 以上,"2376    技嘉  39.87
1617    榮星  39.58
1597    直得  39.30
3703    欣陸  39.22
3027    盛達  38.68
2030    彰源  37.84
1310    台苯  37.68
3704    合勤控  37.52
3383    新世紀  37.16
5533    皇鼎  37.05
4722    國精化  37.04
5471    松翰  36.88
2385    群光  36.53
8112    至上  36.47
2027    大成鋼  36.46
9802    鈺齊-KY  36.22
1810    和成  35.72
1532    勤美  35.58
6464    台數科  35.36
2908    特力  35.14
2915    潤泰全  34.83
2613    中櫃  34.58
2612    中航  34.35
2430    燦坤  34.33
2103    台橡  34.02
2327    國巨  34.00
2107    厚生  33.77
9911    櫻花  33.45
1409    新纖  33.33
1802    台玻  33.17
8114    振樺電  33.17
2101    南港  32.49
1513    中興電  32.46
2547    日勝生  32.18
2012    春雨  31.98
1605    華新  31.90
2379    瑞昱  31.63
1783    和康生  31.27
6141    柏承  31.27
4915    致伸  30.84
3013    晟銘電  30.82
1504    東元  30.44
6133    金橋  30.23
4739    康普  30.18
",2026-05-15
1100427,20 以上,"1615    大山  29.88
1714    和桐  29.47
2891    中信金  29.45
2359    所羅門  29.42
2369    菱生  28.57
2885    元大金  28.33
2702    華園  27.86
5522    遠雄  27.82
2312    金寶  27.51
2241    艾姆勒  27.22
1734    杏輝  26.64
2362    藍天  26.49
2413    環科  26.42
2506    太設  26.27
2611    志信  26.01
2360    致茂  25.42
1419    新紡  25.37
2457    飛宏  25.11
1611    中電  24.99
2365    昆盈  24.87
1233    天仁  24.64
2481    強茂  24.50
8033    雷虎  24.37
1904    正隆  24.26
9945    潤泰新  23.05
2231    為升  22.82
6672    騰輝電子-KY  22.82
6415    矽力-KY  22.71
2049    上銀  22.64
4746    台耀  22.56
2436    偉詮電  22.50
1231    聯華食  22.42
2601    益航  22.24
2303    聯電  22.22
2031    新光鋼  22.14
1708    東鹼  21.95
3029    零壹  21.51
2415    錩新  21.14
8039    台虹  20.96
1702    南僑  20.85
5534    長虹  20.84
2433    互盛電  20.74
1315    達新  20.62
3645    達邁  20.32
4141    龍燈-KY  20.32
1110    東泥  20.15
",2026-05-15
1100427,20 以下,"4414    如興  19.93
6426    統新  19.82
6197    佳必琪  19.81
2867    三商壽  19.67
2402    毅嘉  19.64
8101    華冠  19.60
8462    柏文  19.60
2109    華豐  19.40
2636    台驊投控  19.39
6251    定穎  19.39
3060    銘異  19.16
2905    三商  19.07
6152    百一  19.05
9908    大台北  18.89
1717    長興  18.80
3605    宏致  18.26
3702    大聯大  18.16
3346    麗清  18.02
9958    世紀鋼  17.98
2530    華建  17.82
3679    新至陞  17.56
5515    建國  17.50
6591    動力-KY  17.39
2466    冠西電  17.37
2705    六福  16.79
1536    和大  16.61
2201    裕隆  16.47
6269    台郡  16.39
6277    宏正  16.29
2471    資通  16.02
2606    裕民  15.80
3705    永信  15.60
2832    台產  15.47
1598    岱宇  15.43
1760    寶齡富錦  15.42
2010    春源  15.20
8028    昇陽半導體  15.14
4720    德淵  14.90
5871    中租-KY  14.65
9902    台火  14.65
2820    華票  14.61
8367    建新國際  14.60
1217    愛之味  14.58
9919    康那香  14.45
8081    致新  14.22
8411    福貞-KY  14.14
1216    統一  14.05
2032    新鋼  14.04
2458    義隆  13.81
1109    信大  13.41
1402    遠東新  13.25
3023    信邦  13.22
1817    凱撒衛  13.07
6257    矽格  12.81
1235    興泰  12.73
1451    年興  12.56
3665    貿聯-KY  12.54
1506    正道  12.48
4526    東台  12.39
3130    一零四  12.31
6706    惠特  12.04
3042    晶技  11.72
2355    敬鵬  11.59
2338    光罩  11.58
2429    銘旺科  11.46
3036    文曄  11.46
5007    三星  11.32
6128    上福  11.31
3011    今皓  11.11
2390    云辰  10.37
4956    光鋐  10.32
1614    三洋電  9.80
2488    漢平  9.64
3406    玉晶光  9.59
1473    台南  9.57
4564    元翎  9.56
1711    永光  9.55
1477    聚陽  9.32
9939    宏全  9.09
3714    富采  9.04
2323    中環  8.99
1603    華電  8.87
1524    耿鼎  8.75
4977    眾達-KY  8.72
2347    聯強  8.62
6625    必應  8.54
1101    台泥  8.45
4557    永新-KY  8.32
2344    華邦電  8.02
2836    高雄銀  7.99
2015    豐興  7.95
1466    聚隆  7.93
9917    中保科  7.76
3617    碩天  7.71
1558    伸興  7.54
1909    榮成  7.37
1587    吉茂  7.36
1537    廣隆  7.30
4737    華廣  7.29
3593    力銘  7.22
5907    大洋-KY  7.08
2375    凱美  6.92
1319    東陽  6.91
6166    凌華  6.86
6136    富爾特  6.75
6281    全國電  6.50
2597    潤弘  6.46
2913    農林  6.18
8473    山林水  6.10
2456    奇力新  5.75
3653    健策  5.74
2707    晶華  5.60
6192    巨路  5.54
3257    虹冠電  5.47
4930    燦星網  5.36
2421    建準  5.31
3694    海華  5.07
2722    夏都  5.01
2115    六暉-KY  4.89
8464    億豐  4.89
2314    台揚  4.88
4999    鑫禾  4.86
9935    慶豐富  4.77
2504    國產  4.66
2374    佳能  4.58
1102    亞泥  4.57
2006    東和鋼鐵  4.41
5607    遠雄港  4.32
2324    仁寶  4.23
1210    大成  4.14
1203    味王  4.06
2731    雄獅  4.00
9918    欣天然  3.97
2106    建大  3.90
3021    鴻名  3.88
1467    南緯  3.80
2739    寒舍  3.39
2233    宇隆  3.32
6224    聚鼎  3.23
9937    全國  3.22
1720    生達  3.10
1234    黑松  2.79
2535    達欣工  2.79
3016    嘉晶  2.79
2509    全坤建  2.66
2838    聯邦銀  2.60
3528    安馳  2.55
2478    大毅  2.49
2615    萬海  2.44
5434    崇越  2.35
4912    聯德控股-KY  2.31
3682    亞太電  2.28
8016    矽創  2.27
1710    東聯  2.18
1455    集盛  2.12
1256    鮮活果汁-KY  2.06
2462    良得電  1.99
2464    盟立  1.89
6414    樺漢  1.82
8249    菱光  1.82
6449    鈺邦  1.81
1789    神隆  1.76
3167    大量  1.49
1229    聯華  1.40
4958    臻鼎-KY  0.96
1737    臺鹽  0.94
4904    遠傳  0.82
1301    台塑  0.81
2104    國際中橡  0.80
1460    宏遠  0.75
4943    康控-KY  0.71
1434    福懋  0.70
3706    神達  0.68
3494    誠研  0.65
6582    申豐  0.55
6214    精誠  0.54
2906    高林  0.47
1449    佳和  0.46
3189    景碩  0.28
2882    國泰金  0.26
1313    聯成  0.08
1303    南亞  0.07
1722    台肥  0.03
2880    華南金  0.03
2330    台積電  0.01
1103    嘉泥  0.00
1104    環泥  0.00
1108    幸福  0.00
1201    味全  0.00
1213    大飲  0.00
1215    卜蜂  0.00
1219    福壽  0.00
1220    台榮  0.00
1225    福懋油  0.00
1227    佳格  0.00
1232    大統益  0.00
1236    宏亞  0.00
1304    台聚  0.00
1305    華夏  0.00
1307    三芳  0.00
1308    亞聚  0.00
1309    台達化  0.00
1316    上曜  0.00
1321    大洋  0.00
1323    永裕  0.00
1324    地球  0.00
1325    恆大  0.00
1326    台化  0.00
1337    再生-KY  0.00
1339    昭輝  0.00
1340    勝悅-KY  0.00
1341    富林-KY  0.00
1342    八貫  0.00
1410    南染  0.00
1413    宏洲  0.00
1416    廣豐  0.00
1417    嘉裕  0.00
1418    東華  0.00
1423    利華  0.00
1436    華友聯  0.00
1437    勤益控  0.00
1438    三地開發  0.00
1439    中和  0.00
1440    南紡  0.00
1441    大東  0.00
1442    名軒  0.00
1443    立益  0.00
1444    力麗  0.00
1445    大宇  0.00
1446    宏和  0.00
1447    力鵬  0.00
1452    宏益  0.00
1453    大將  0.00
1454    台富  0.00
1456    怡華  0.00
1457    宜進  0.00
1463    強盛  0.00
1465    偉全  0.00
1468    昶和  0.00
1470    大統新創  0.00
1471    首利  0.00
1472    三洋紡  0.00
1474    弘裕  0.00
1475    業旺  0.00
1476    儒鴻  0.00
1503    士電  0.00
1507    永大  0.00
1512    瑞利  0.00
1514    亞力  0.00
1515    力山  0.00
1516    川飛  0.00
1517    利奇  0.00
1519    華城  0.00
1521    大億  0.00
1522    堤維西  0.00
1525    江申  0.00
1526    日馳  0.00
1527    鑽全  0.00
1528    恩德  0.00
1529    樂士  0.00
1530    亞崴  0.00
1531    高林股  0.00
1533    車王電  0.00
1535    中宇  0.00
1538    正峰  0.00
1539    巨庭  0.00
1540    喬福  0.00
1541    錩泰  0.00
1560    中砂  0.00
1568    倉佑  0.00
1582    信錦  0.00
1583    程泰  0.00
1589    永冠-KY  0.00
1590    亞德客-KY  0.00
1604    聲寶  0.00
1608    華榮  0.00
1612    宏泰  0.00
1616    億泰  0.00
1618    合機  0.00
1626    艾美特-KY  0.00
1701    中化  0.00
1707    葡萄王  0.00
1709    和益  0.00
1712    興農  0.00
1713    國化  0.00
1721    三晃  0.00
1723    中碳  0.00
1724    台硝  0.00
1725    元禎  0.00
1726    永記  0.00
1727    中華化  0.00
1730    花仙子  0.00
1731    美吾華  0.00
1732    毛寶  0.00
1733    五鼎  0.00
1735    日勝化  0.00
1736    喬山  0.00
1762    中化生  0.00
1773    勝一  0.00
1776    展宇  0.00
1786    科妍  0.00
1795    美時  0.00
1806    冠軍  0.00
1808    潤隆  0.00
1809    中釉  0.00
1905    華紙  0.00
1906    寶隆  0.00
1907    永豐餘  0.00
2002    中鋼  0.00
2007    燁興  0.00
2008    高興昌  0.00
2009    第一銅  0.00
2013    中鋼構  0.00
2014    中鴻  0.00
2022    聚亨  0.00
2023    燁輝  0.00
2024    志聯  0.00
2028    威致  0.00
2029    盛餘  0.00
2033    佳大  0.00
2034    允強  0.00
2038    海光  0.00
2059    川湖  0.00
2062    橋椿  0.00
2069    運錩  0.00
2102    泰豐  0.00
2105    正新  0.00
2108    南帝  0.00
2114    鑫永銓  0.00
2204    中華  0.00
2207    和泰車  0.00
2208    台船  0.00
2211    長榮鋼  0.00
2227    裕日車  0.00
2228    劍麟  0.00
2239    英利-KY  0.00
2243    宏旭-KY  0.00
2247    汎德永業  0.00
2301    光寶科  0.00
2302    麗正  0.00
2305    全友  0.00
2308    台達電  0.00
2313    華通  0.00
2316    楠梓電  0.00
2321    東訊  0.00
2328    廣宇  0.00
2329    華泰  0.00
2331    精英  0.00
2332    友訊  0.00
2337    旺宏  0.00
2340    光磊  0.00
2342    茂矽  0.00
2345    智邦  0.00
2349    錸德  0.00
2351    順德  0.00
2352    佳世達  0.00
2353    宏�  0.00
2354    鴻準  0.00
2356    英業達  0.00
2357    華碩  0.00
2363    矽統  0.00
2364    倫飛  0.00
2367    燿華  0.00
2368    金像電  0.00
2377    微星  0.00
2380    虹光  0.00
2382    廣達  0.00
2383    台光電  0.00
2387    精元  0.00
2388    威盛  0.00
2392    正崴  0.00
2393    億光  0.00
2395    研華  0.00
2397    友通  0.00
2399    映泰  0.00
2404    漢唐  0.00
2408    南亞科  0.00
2409    友達  0.00
2412    中華電  0.00
2414    精技  0.00
2419    仲琦  0.00
2423    固緯  0.00
2424    隴華  0.00
2425    承啟  0.00
2426    鼎元  0.00
2427    三商電  0.00
2428    興勤  0.00
2431    聯昌  0.00
2434    統懋  0.00
2438    翔耀  0.00
2439    美律  0.00
2440    太空梭  0.00
2441    超豐  0.00
2442    新美齊  0.00
2443    億麗  0.00
2444    兆勁  0.00
2449    京元電子  0.00
2450    神腦  0.00
2451    創見  0.00
2453    凌群  0.00
2454    聯發科  0.00
2459    敦吉  0.00
2460    建通  0.00
2465    麗臺  0.00
2467    志聖  0.00
2468    華經  0.00
2472    立隆電  0.00
2474    可成  0.00
2476    鉅祥  0.00
2477    美隆電  0.00
2480    敦陽科  0.00
2482    連宇  0.00
2483    百容  0.00
2484    希華  0.00
2485    兆赫  0.00
2486    一詮  0.00
2489    瑞軒  0.00
2491    吉祥全  0.00
2492    華新科  0.00
2493    揚博  0.00
2495    普安  0.00
2496    卓越  0.00
2497    怡利電  0.00
2498    宏達電  0.00
2501    國建  0.00
2505    國揚  0.00
2511    太子  0.00
2516    新建  0.00
2520    冠德  0.00
2524    京城  0.00
2527    宏璟  0.00
2534    宏盛  0.00
2536    宏普  0.00
2537    聯上發  0.00
2538    基泰  0.00
2539    櫻花建  0.00
2540    愛山林  0.00
2542    興富發  0.00
2546    根基  0.00
2548    華固  0.00
2603    長榮  0.00
2605    新興  0.00
2607    榮運  0.00
2608    嘉里大榮  0.00
2609    陽明  0.00
2610    華航  0.00
2614    東森  0.00
2616    山隆  0.00
2617    台航  0.00
2618    長榮航  0.00
2630    亞航  0.00
2633    台灣高鐵  0.00
2634    漢翔  0.00
2642    宅配通  0.00
2701    萬企  0.00
2704    國賓  0.00
2706    第一店  0.00
2712    遠雄來  0.00
2723    美食-KY  0.00
2727    王品  0.00
2748    雲品  0.00
2801    彰銀  0.00
2816    旺旺保  0.00
2823    中壽  0.00
2834    臺企銀  0.00
2841    台開  0.00
2845    遠東銀  0.00
2850    新產  0.00
2851    中再保  0.00
2852    第一保  0.00
2855    統一證  0.00
2881    富邦金  0.00
2884    玉山金  0.00
2886    兆豐金  0.00
2887    台新金  0.00
2888    新光金  0.00
2889    國票金  0.00
2890    永豐金  0.00
2892    第一金  0.00
2897    王道銀行  0.00
2901    欣欣  0.00
2903    遠百  0.00
2904    匯僑  0.00
2911    麗嬰房  0.00
2912    統一超  0.00
2923    鼎固-KY  0.00
2929    淘帝-KY  0.00
2936    客思達-KY  0.00
3002    歐格  0.00
3003    健和興  0.00
3004    豐達科  0.00
3005    神基  0.00
3006    晶豪科  0.00
3008    大立光  0.00
3010    華立  0.00
3014    聯陽  0.00
3015    全漢  0.00
3017    奇鋐  0.00
3018    同開  0.00
3019    亞光  0.00
3022    威強電  0.00
3024    憶聲  0.00
3025    星通  0.00
3026    禾伸堂  0.00
3028    增你強  0.00
3030    德律  0.00
3031    佰鴻  0.00
3033    威健  0.00
3034    聯詠  0.00
3035    智原  0.00
3037    欣興  0.00
3038    全台  0.00
3040    遠見  0.00
3041    揚智  0.00
3043    科風  0.00
3044    健鼎  0.00
3045    台灣大  0.00
3046    建�  0.00
3047    訊舟  0.00
3048    益登  0.00
3049    和鑫  0.00
3051    力特  0.00
3052    夆典  0.00
3054    立萬利  0.00
3056    總太  0.00
3057    喬鼎  0.00
3058    立德  0.00
3062    建漢  0.00
3090    日電貿  0.00
3094    聯傑  0.00
3138    耀登  0.00
3149    正達  0.00
3209    全科  0.00
3231    緯創  0.00
3266    昇陽  0.00
3296    勝德  0.00
3305    昇貿  0.00
3308    聯德  0.00
3311    閎暉  0.00
3321    同泰  0.00
3338    泰碩  0.00
3356    奇偶  0.00
3376    新日興  0.00
3380    明泰  0.00
3413    京鼎  0.00
3416    融程電  0.00
3419    譁裕  0.00
3432    台端  0.00
3437    榮創  0.00
3443    創意  0.00
3450    聯鈞  0.00
3454    晶睿  0.00
3481    群創  0.00
3501    維熹  0.00
3504    揚明光  0.00
3515    華擎  0.00
3518    柏騰  0.00
3530    晶相光  0.00
3532    台勝科  0.00
3533    嘉澤  0.00
3536    誠創  0.00
3543    州巧  0.00
3545    敦泰  0.00
3550    聯穎  0.00
3557    嘉威  0.00
3563    牧德  0.00
3576    聯合再生  0.00
3583    辛耘  0.00
3591    艾笛森  0.00
3596    智易  0.00
3607    谷崧  0.00
3622    洋華  0.00
3661    世芯-KY  0.00
3669    圓展  0.00
3673    TPK-KY  0.00
3686    達能  0.00
3701    大眾控  0.00
3708    上緯投控  0.00
3711    日月光投控  0.00
3712    永崴投控  0.00
4104    佳醫  0.00
4106    雃博  0.00
4108    懷特  0.00
4119    旭富  0.00
4133    亞諾法  0.00
4137    麗豐-KY  0.00
4142    國光生  0.00
4148    全宇生技-KY  0.00
4155    訊映  0.00
4190    佐登-KY  0.00
4306    炎洲  0.00
4426    利勤  0.00
4438    廣越  0.00
4439    冠星-KY  0.00
4532    瑞智  0.00
4536    拓凱  0.00
4540    全球傳動  0.00
4545    銘鈺  0.00
4551    智伸科  0.00
4552    力達-KY  0.00
4555    氣立  0.00
4560    強信-KY  0.00
4562    穎漢  0.00
4566    時碩工業  0.00
4571    鈞興-KY  0.00
4572    駐龍  0.00
4576    大銀微系統  0.00
4581    光隆精密-KY  0.00
4755    三福化  0.00
4763    材料-KY  0.00
4764    雙鍵  0.00
4766    南寶  0.00
4807    日成-KY  0.00
4906    正文  0.00
4916    事欣科  0.00
4919    新唐  0.00
4927    泰鼎-KY  0.00
4934    太極  0.00
4935    茂林-KY  0.00
4938    和碩  0.00
4942    嘉彰  0.00
4952    凌通  0.00
4960    誠美材  0.00
4961    天鈺  0.00
4967    十銓  0.00
4968    立積  0.00
4976    佳凌  0.00
5203    訊連  0.00
5215    科嘉-KY  0.00
5225    東科-KY  0.00
5234    達興材料  0.00
5243    乙盛-KY  0.00
5258    虹堡  0.00
5269    祥碩  0.00
5283    禾聯碩  0.00
5284    jpp-KY  0.00
5285    界霖  0.00
5288    豐祥-KY  0.00
5469    瀚宇博  0.00
5484    慧友  0.00
5521    工信  0.00
5525    順天  0.00
5531    鄉林  0.00
5538    東明-KY  0.00
5546    永固-KY  0.00
5876    上海商銀  0.00
5880    合庫金  0.00
5906    台南-KY  0.00
6005    群益證  0.00
6024    群益期  0.00
6108    競國  0.00
6112    聚碩  0.00
6115    鎰勝  0.00
6116    彩晶  0.00
6117    迎廣  0.00
6120    達運  0.00
6131    鈞泰  0.00
6142    友勁  0.00
6153    嘉聯益  0.00
6155    鈞寶  0.00
6164    華興  0.00
6165    浪凡  0.00
6168    宏齊  0.00
6172    互億  0.00
6176    瑞儀  0.00
6177    達麗  0.00
6183    關貿  0.00
6189    豐藝  0.00
6191    精成科  0.00
6196    帆宣  0.00
6201    亞弘電  0.00
6202    盛群  0.00
6205    詮欣  0.00
6206    飛捷  0.00
6209    今國光  0.00
6213    聯茂  0.00
6216    居易  0.00
6225    天瀚  0.00
6226    光鼎  0.00
6230    尼得科超眾  0.00
6235    華孚  0.00
6239    力成  0.00
6243    迅杰  0.00
6271    同欣電  0.00
6278    台表科  0.00
6282    康舒  0.00
6283    淳安  0.00
6285    啟�  0.00
6288    聯嘉  0.00
6405    悅城  0.00
6409    旭隼  0.00
6412    群電  0.00
6416    瑞祺電通  0.00
6431    光麗-KY  0.00
6438    迅得  0.00
6442    光聖  0.00
6443    元晶  0.00
6451    訊芯-KY  0.00
6456    GIS-KY  0.00
6477    安集  0.00
6491    晶碩  0.00
6504    南六  0.00
6505    台塑化  0.00
6515    穎崴  0.00
6525    捷敏-KY  0.00
6531    愛普  0.00
6533    晶心科  0.00
6541    泰福-KY  0.00
6552    易華電  0.00
6558    興能高  0.00
6573    虹揚-KY  0.00
6579    研揚  0.00
6581    鋼聯  0.00
6592    和潤企業  0.00
6598    ABC-KY  0.00
6605    帝寶  0.00
6641    基士德-KY  0.00
6666    羅麗芬-KY  0.00
6668    中揚光  0.00
6669    緯穎  0.00
6670    復盛應用  0.00
6671    三能-KY  0.00
6674    鋐寶科技  0.00
6698    旭暉應材  0.00
6715    嘉基  0.00
6743    安普新  0.00
6754    匯僑設計  0.00
6756    威鋒電子  0.00
6768    志強-KY  0.00
6776    展�國際  0.00
6781    AES-KY  0.00
8021    尖點  0.00
8046    南電  0.00
8070    長華*  0.00
8072    陞泰  0.00
8103    瀚荃  0.00
8104    錸寶  0.00
8105    凌巨  0.00
8110    華東  0.00
8131    福懋科  0.00
8150    南茂  0.00
8163    達方  0.00
8201    無敵  0.00
8210    勤誠  0.00
8213    志超  0.00
8215    明基材  0.00
8222    寶一  0.00
8261    富鼎  0.00
8271    宇瞻  0.00
8374    羅昇  0.00
8404    百和興業-KY  0.00
8422    可寧衛  0.00
8427    基勝-KY  0.00
8429    金麗-KY  0.00
8442    威宏-KY  0.00
8454    富邦媒  0.00
8463    潤泰材  0.00
8466    美吉吉-KY  0.00
8467    波力-KY  0.00
8478    東哥遊艇  0.00
8480    泰昇-KY  0.00
8481    政伸  0.00
8482    商億-KY  0.00
8488    吉源-KY  0.00
8499    鼎炫-KY  0.00
8926    台汽電  0.00
8940    新天地  0.00
8996    高力  0.00
9904    寶成  0.00
9905    大華  0.00
9906    欣巴巴  0.00
9907    統一實  0.00
9910    豐泰  0.00
9912    偉聯  0.00
9914    美利達  0.00
9921    巨大  0.00
9924    福興  0.00
9925    新保  0.00
9926    新海  0.00
9927    泰銘  0.00
9928    中視  0.00
9930    中聯資源  0.00
9931    欣高  0.00
9933    中鼎  0.00
9934    成霖  0.00
9938    百和  0.00
9940    信義  0.00
9941    裕融  0.00
9942    茂順  0.00
9943    好樂迪  0.00
9944    新麗  0.00
9946    三發地產  0.00
9955    佳龍  0.00
",2026-05-15
1100427,90 以上,"2020    美亞  95.66
1432    大魯閣  92.29
",2026-05-17
1100427,80 以上,"2025    千興  85.30
2317    鴻海  82.99
5608    四維航  81.45
2206    三陽工業  80.85
2545    皇翔  80.55
",2026-05-17
1100427,70 以上,"8341    日友  78.47
1805    寶徠  78.11
2812    台中銀  76.53
5519    隆大  75.60
1314    中石化  75.30
4994    傳奇  75.27
2637    慧洋-KY  74.63
1338    廣華-KY  74.35
1312    國喬  70.10
",2026-05-17
1100427,60 以上,"2461    光群雷  69.00
3050    鈺德  64.88
1464    得力  64.74
6289    華上  64.63
2348    海悅  64.48
2515    中工  63.50
1718    中纖  62.73
2514    龍邦  62.56
2358    廷鑫  62.34
2849    安泰銀  61.55
1592    英瑞-KY  60.16
",2026-05-17
1100427,50 以上,"2236    百達-KY  59.16
3032    偉訓  55.84
2543    皇昌  55.44
9929    秋雨  54.80
2420    新巨  54.44
2017    官田鋼  54.07
5388    中磊  53.73
1218    泰山  53.43
6139    亞翔  52.48
3164    景岳  51.49
2910    統領  51.45
",2026-05-17
1100427,40 以上,"2883    開發金  49.93
3312    弘憶股  49.55
4989    榮科  49.39
6655    科定  48.86
6184    大豐電  48.74
2809    京城銀  48.42
2405    浩鑫  48.03
4164    承業醫  47.82
2406    國碩  47.80
3055    蔚華科  47.58
3229    晟鈦  46.99
3059    華晶科  45.38
1459    聯發  45.12
2528    皇普  45.03
2373    震旦行  43.74
2401    凌陽  43.73
1435    中福  43.17
8443    阿瘦  42.80
3535    晶彩科  42.61
2939    凱羿-KY  42.41
2455    全新  41.98
1414    東和  41.96
2371    大同  41.93
6215    和椿  41.33
2417    圓剛  40.97
8011    台通  40.80
1903    士紙  40.61
3588    通嘉  40.54
5706    鳳凰  40.37
1609    大亞  40.35
",2026-05-17
1100427,30 以上,"2376    技嘉  39.87
1617    榮星  39.58
1597    直得  39.30
3703    欣陸  39.22
3027    盛達  38.68
2030    彰源  37.84
1310    台苯  37.68
3704    合勤控  37.52
3383    新世紀  37.16
5533    皇鼎  37.05
4722    國精化  37.04
5471    松翰  36.88
2385    群光  36.53
8112    至上  36.47
2027    大成鋼  36.46
9802    鈺齊-KY  36.22
1810    和成  35.72
1532    勤美  35.58
6464    台數科  35.36
2908    特力  35.14
2915    潤泰全  34.83
2613    中櫃  34.58
2612    中航  34.35
2430    燦坤  34.33
2103    台橡  34.02
2327    國巨  34.00
2107    厚生  33.77
9911    櫻花  33.45
1409    新纖  33.33
1802    台玻  33.17
8114    振樺電  33.17
2101    南港  32.49
1513    中興電  32.46
2547    日勝生  32.18
2012    春雨  31.98
1605    華新  31.90
2379    瑞昱  31.63
1783    和康生  31.27
6141    柏承  31.27
4915    致伸  30.84
3013    晟銘電  30.82
1504    東元  30.44
6133    金橋  30.23
4739    康普  30.18
",2026-05-17
1100427,20 以上,"1615    大山  29.88
1714    和桐  29.47
2891    中信金  29.45
2359    所羅門  29.42
2369    菱生  28.57
2885    元大金  28.33
2702    華園  27.86
5522    遠雄  27.82
2312    金寶  27.51
2241    艾姆勒  27.22
1734    杏輝  26.64
2362    藍天  26.49
2413    環科  26.42
2506    太設  26.27
2611    志信  26.01
2360    致茂  25.42
1419    新紡  25.37
2457    飛宏  25.11
1611    中電  24.99
2365    昆盈  24.87
1233    天仁  24.64
2481    強茂  24.50
8033    雷虎  24.37
1904    正隆  24.26
9945    潤泰新  23.05
2231    為升  22.82
6672    騰輝電子-KY  22.82
6415    矽力-KY  22.71
2049    上銀  22.64
4746    台耀  22.56
2436    偉詮電  22.50
1231    聯華食  22.42
2601    益航  22.24
2303    聯電  22.22
2031    新光鋼  22.14
1708    東鹼  21.95
3029    零壹  21.51
2415    錩新  21.14
8039    台虹  20.96
1702    南僑  20.85
5534    長虹  20.84
2433    互盛電  20.74
1315    達新  20.62
3645    達邁  20.32
4141    龍燈-KY  20.32
1110    東泥  20.15
",2026-05-17
