出表日期,報告年度,公司代號,公司名稱,董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,date
1150513,113,8940,新天地,6,2,1,16.67%,100.00%,100.00%,2026-05-15
1150513,113,8996,高力,9,3,0,0.00%,98.61%,100.00%,2026-05-15
1150513,113,9802,鈺齊-KY,8,5,3,37.50%,95.83%,100.00%,2026-05-15
1150513,113,9902,台火,7,3,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,9904,寶成,9,3,2,22.22%,100.00%,100.00%,2026-05-15
1150513,113,9905,大華,11,3,3,27.27%,92.73%,100.00%,2026-05-15
1150513,113,9906,欣巴巴,7,3,5,71.43%,97.62%,100.00%,2026-05-15
1150513,113,9907,統一實,10,3,1,10.00%,98.00%,100.00%,2026-05-15
1150513,113,9908,大台北,11,3,1,9.09%,96.97%,100.00%,2026-05-15
1150513,113,9910,豐泰,13,4,2,15.38%,100.00%,100.00%,2026-05-15
1150513,113,9911,櫻花,9,3,1,11.11%,96.30%,100.00%,2026-05-15
1150513,113,9912,偉聯,7,3,2,28.57%,94.29%,100.00%,2026-05-15
1150513,113,9914,美利達,13,4,2,15.00%,97.80%,100.00%,2026-05-15
1150513,113,9917,中保科,12,4,2,16.67%,96.00%,100.00%,2026-05-15
1150513,113,9918,欣天然,24,5,4,16.67%,97.01%,91.67%,2026-05-15
1150513,113,9919,康那香,11,4,5,45.45%,85.00%,100.00%,2026-05-15
1150513,113,9921,巨大,11,3,4,36.36%,96.59%,100.00%,2026-05-15
1150513,113,9924,福興,10,3,1,10.00%,96.00%,100.00%,2026-05-15
1150513,113,9925,新保,9,4,1,11.11%,81.94%,77.78%,2026-05-15
1150513,113,9926,新海,15,3,4,26.67%,87.50%,100.00%,2026-05-15
1150513,113,9927,泰銘,9,3,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,9928,中視,10,4,3,30.00%,88.75%,80.00%,2026-05-15
1150513,113,9929,秋雨,7,3,0,0.00%,86.00%,57.00%,2026-05-15
1150513,113,9930,中聯資源,15,3,0,0.00%,91.11%,100.00%,2026-05-15
1150513,113,9931,欣高,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,9933,中鼎,12,4,1,8.33%,95.00%,100.00%,2026-05-15
1150513,113,9934,成霖,9,4,2,22.22%,93.02%,44.44%,2026-05-15
1150513,113,9935,慶豐富,7,3,1,14.29%,92.86%,100.00%,2026-05-15
1150513,113,9937,全國,9,3,1,11.11%,98.00%,100.00%,2026-05-15
1150513,113,9938,百和,9,4,3,33.33%,98.41%,100.00%,2026-05-15
1150513,113,9939,宏全,9,3,3,33.33%,96.30%,100.00%,2026-05-15
1150513,113,9940,信義,7,4,2,28.57%,98.41%,100.00%,2026-05-15
1150513,113,9941,裕融,11,4,1,9.09%,94.55%,100.00%,2026-05-15
1150513,113,9942,茂順,9,4,1,11.11%,87.30%,100.00%,2026-05-15
1150513,113,9943,好樂迪,11,3,5,45.45%,97.73%,100.00%,2026-05-15
1150513,113,9944,新麗,7,3,4,57.14%,97.14%,91.67%,2026-05-15
1150513,113,9945,潤泰新,9,3,2,22.22%,92.06%,100.00%,2026-05-15
1150513,113,9946,三發地產,7,3,2,28.57%,98.21%,100.00%,2026-05-15
1150513,113,9955,佳龍,8,4,1,12.50%,93.75%,100.00%,2026-05-15
1150513,113,9958,世紀鋼,9,3,1,11.11%,98.55%,100.00%,2026-05-15
1150513,113,1101,台泥,15,5,5,33.33%,99.44%,100.00%,2026-05-15
1150513,113,1102,亞泥,15,5,2,13.33%,97.33%,100.00%,2026-05-15
1150513,113,1103,嘉泥,7,3,1,14.29%,95.92%,100.00%,2026-05-15
1150513,113,1104,環泥,7,4,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1108,幸福,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1109,信大,9,3,1,11.11%,95.56%,33.33%,2026-05-15
1150513,113,1110,東泥,11,3,3,27.00%,96.97%,100.00%,2026-05-15
1150513,113,1201,味全,9,3,0,0.00%,100.00%,95.00%,2026-05-15
1150513,113,1203,味王,14,3,0,0.00%,72.50%,100.00%,2026-05-15
1150513,113,1210,大成,11,3,0,0.00%,90.50%,100.00%,2026-05-15
1150513,113,1213,大飲,9,3,2,22.22%,88.88%,100.00%,2026-05-15
1150513,113,1215,卜蜂,8,3,0,0.00%,96.00%,100.00%,2026-05-15
1150513,113,1216,統一,14,4,2,14.28%,94.64%,100.00%,2026-05-15
1150513,113,1217,愛之味,9,3,0,0.00%,82.22%,100.00%,2026-05-15
1150513,113,1218,泰山,9,3,0,0.00%,99.00%,100.00%,2026-05-15
1150513,113,1219,福壽,9,3,2,22.22%,100.00%,100.00%,2026-05-15
1150513,113,1220,台榮,9,3,1,11.11%,97.00%,88.89%,2026-05-15
1150513,113,1225,福懋油,9,3,2,22.22%,89.03%,88.89%,2026-05-15
1150513,113,1227,佳格,8,4,1,12.50%,89.00%,100.00%,2026-05-15
1150513,113,1229,聯華,9,3,1,11.11%,93.00%,100.00%,2026-05-15
1150513,113,1231,聯華食,9,3,3,33.33%,98.15%,100.00%,2026-05-15
1150513,113,1232,大統益,11,3,2,18.18%,97.40%,100.00%,2026-05-15
1150513,113,1233,天仁,9,3,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,1234,黑松,13,3,1,7.69%,91.35%,100.00%,2026-05-15
1150513,113,1235,興泰,7,3,1,14.29%,94.64%,100.00%,2026-05-15
1150513,113,1236,宏亞,7,4,4,57.14%,100.00%,100.00%,2026-05-15
1150513,113,1256,鮮活果汁-KY,8,3,1,12.50%,98.00%,100.00%,2026-05-15
1150513,113,1301,台塑,12,4,2,16.67%,95.56%,100.00%,2026-05-15
1150513,113,1303,南亞,15,3,2,13.33%,94.44%,100.00%,2026-05-15
1150513,113,1304,台聚,9,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,1305,華夏,9,4,1,11.11%,95.24%,100.00%,2026-05-15
1150513,113,1307,三芳,7,3,1,14.29%,95.23%,100.00%,2026-05-15
1150513,113,1308,亞聚,9,4,1,11.11%,94.44%,100.00%,2026-05-15
1150513,113,1309,台達化,9,4,2,22.22%,94.12%,100.00%,2026-05-15
1150513,113,1310,台苯,11,4,2,18.18%,87.01%,100.00%,2026-05-15
1150513,113,1312,國喬,7,3,1,14.00%,98.40%,100.00%,2026-05-15
1150513,113,1313,聯成,9,3,1,11.11%,98.21%,100.00%,2026-05-15
1150513,113,1314,中石化,9,4,2,22.22%,94.44%,100.00%,2026-05-15
1150513,113,1315,達新,9,3,0,0.00%,91.11%,100.00%,2026-05-15
1150513,113,1316,上曜,7,4,3,42.86%,100.00%,100.00%,2026-05-15
1150513,113,1319,東陽,7,3,1,14.29%,92.86%,14.29%,2026-05-15
1150513,113,1321,大洋,10,4,2,20.00%,91.67%,100.00%,2026-05-15
1150513,113,1323,永裕,11,4,0,0.00%,98.48%,95.45%,2026-05-15
1150513,113,1324,地球,5,3,1,20.00%,100.00%,100.00%,2026-05-15
1150513,113,1325,恆大,7,4,3,42.86%,100.00%,28.57%,2026-05-15
1150513,113,1326,台化,12,4,1,8.33%,93.59%,91.67%,2026-05-15
1150513,113,1337,再生-KY,7,3,1,14.28%,100.00%,100.00%,2026-05-15
1150513,113,1338,廣華-KY,7,3,1,14.29%,98.41%,100.00%,2026-05-15
1150513,113,1339,昭輝,9,4,3,33.33%,93.33%,100.00%,2026-05-15
1150513,113,1340,勝悅-KY,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1341,富林-KY,6,4,1,16.67%,100.00%,100.00%,2026-05-15
1150513,113,1342,八貫,8,4,3,37.50%,78.00%,100.00%,2026-05-15
1150513,113,1402,遠東新,15,5,2,13.00%,96.00%,100.00%,2026-05-15
1150513,113,1409,新纖,12,3,1,8.33%,85.19%,100.00%,2026-05-15
1150513,113,1410,南染,7,4,1,14.29%,96.43%,100.00%,2026-05-15
1150513,113,1413,宏洲,12,4,2,17.00%,87.50%,100.00%,2026-05-15
1150513,113,1414,東和,7,3,2,28.57%,100.00%,14.29%,2026-05-15
1150513,113,1416,廣豐,8,3,1,12.50%,95.31%,100.00%,2026-05-15
1150513,113,1417,嘉裕,7,3,2,28.57%,94.29%,100.00%,2026-05-15
1150513,113,1418,東華,8,3,0,0.00%,89.00%,37.50%,2026-05-15
1150513,113,1419,新紡,7,3,0,0.00%,97.62%,100.00%,2026-05-15
1150513,113,1423,利華,5,3,4,80.00%,100.00%,100.00%,2026-05-15
1150513,113,1432,大魯閣,9,4,2,22.22%,96.96%,100.00%,2026-05-15
1150513,113,1434,福懋,11,3,1,9.09%,100.00%,100.00%,2026-05-15
1150513,113,1435,中福,6,3,1,16.67%,93.59%,100.00%,2026-05-15
1150513,113,1436,華友聯,9,4,0,0.00%,87.04%,100.00%,2026-05-15
1150513,113,1437,勤益控,7,4,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1438,三地開發,7,3,1,14.29%,96.83%,100.00%,2026-05-15
1150513,113,1439,雋揚,7,3,1,14.29%,96.43%,100.00%,2026-05-15
1150513,113,1440,南紡,20,4,5,25.00%,96.00%,100.00%,2026-05-15
1150513,113,1441,大東,8,4,1,12.50%,95.45%,100.00%,2026-05-15
1150513,113,1442,名軒,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1443,立益物流,5,5,0,0.00%,93.33%,100.00%,2026-05-15
1150513,113,1444,力麗,9,3,1,11.11%,90.00%,100.00%,2026-05-15
1150513,113,1445,大宇,9,2,1,11.11%,97.47%,100.00%,2026-05-15
1150513,113,1446,宏和,9,3,1,11.11%,79.63%,55.56%,2026-05-15
1150513,113,1447,力鵬,9,3,2,22.22%,96.97%,100.00%,2026-05-15
1150513,113,1449,佳和,12,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,1451,年興,9,3,0,0.00%,93.94%,100.00%,2026-05-15
1150513,113,1452,宏益,8,3,1,12.50%,90.79%,100.00%,2026-05-15
1150513,113,1453,大將,7,3,1,14.29%,96.43%,28.57%,2026-05-15
1150513,113,1454,台富,9,4,2,22.22%,100.00%,100.00%,2026-05-15
1150513,113,1455,集盛,9,3,1,11.11%,93.75%,100.00%,2026-05-15
1150513,113,1456,怡華,12,4,3,25.00%,100.00%,100.00%,2026-05-15
1150513,113,1457,宜進,9,3,3,33.33%,83.30%,100.00%,2026-05-15
1150513,113,1459,聯發,9,3,1,11.11%,93.33%,100.00%,2026-05-15
1150513,113,1460,宏遠,11,3,1,9.09%,100.00%,100.00%,2026-05-15
1150513,113,1463,強盛新,11,3,2,18.18%,97.73%,36.00%,2026-05-15
1150513,113,1464,得力,7,4,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1465,偉全,9,4,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,1466,聚隆,11,4,3,27.27%,93.93%,100.00%,2026-05-15
1150513,113,1467,南緯,11,4,1,9.09%,100.00%,81.82%,2026-05-15
1150513,113,1468,昶和,8,4,1,12.50%,95.00%,100.00%,2026-05-15
1150513,113,1470,大統新創,11,4,0,0.00%,92.73%,100.00%,2026-05-15
1150513,113,1471,首利,7,3,2,28.57%,100.00%,57.14%,2026-05-15
1150513,113,1472,三洋實業,6,3,1,16.70%,100.00%,100.00%,2026-05-15
1150513,113,1473,台南,11,3,5,45.45%,100.00%,100.00%,2026-05-15
1150513,113,1474,弘裕,11,3,1,9.09%,98.48%,78.57%,2026-05-15
1150513,113,1475,業旺,5,3,2,20.00%,100.00%,40.00%,2026-05-15
1150513,113,1476,儒鴻,13,5,3,23.08%,100.00%,100.00%,2026-05-15
1150513,113,1477,聚陽,15,4,5,33.33%,95.56%,100.00%,2026-05-15
1150513,113,1503,士電,15,3,0,0.00%,78.33%,100.00%,2026-05-15
1150513,113,1504,東元,11,4,3,27.27%,99.09%,100.00%,2026-05-15
1150513,113,1506,正道,9,3,1,11.11%,97.22%,100.00%,2026-05-15
1150513,113,1512,瑞利,7,3,1,14.29%,95.24%,100.00%,2026-05-15
1150513,113,1513,中興電,9,3,0,0.00%,92.60%,100.00%,2026-05-15
1150513,113,1514,亞力,12,3,2,16.67%,88.33%,91.67%,2026-05-15
1150513,113,1515,力山,9,3,1,11.11%,97.78%,100.00%,2026-05-15
1150513,113,1516,川飛,9,4,3,33.00%,93.00%,100.00%,2026-05-15
1150513,113,1517,利奇,7,3,3,42.86%,100.00%,100.00%,2026-05-15
1150513,113,1519,華城,10,4,1,10.00%,97.50%,100.00%,2026-05-15
1150513,113,1521,大億,9,3,2,22.22%,85.94%,77.78%,2026-05-15
1150513,113,1522,堤維西,9,3,1,11.11%,93.33%,100.00%,2026-05-15
1150513,113,1524,耿鼎,9,4,1,11.11%,80.56%,66.67%,2026-05-15
1150513,113,1525,江申,10,3,1,10.00%,94.00%,90.00%,2026-05-15
1150513,113,1526,日馳,9,4,3,33.33%,97.92%,100.00%,2026-05-15
1150513,113,1527,鑽全,9,3,3,33.33%,88.89%,80.00%,2026-05-15
1150513,113,1528,恩德,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1529,樂事綠能,11,3,1,11.11%,94.12%,100.00%,2026-05-15
1150513,113,1530,亞崴,10,4,1,10.00%,100.00%,100.00%,2026-05-15
1150513,113,1531,高林股,7,4,3,42.86%,95.24%,100.00%,2026-05-15
1150513,113,1532,勤美,9,3,2,22.22%,97.78%,100.00%,2026-05-15
1150513,113,1533,車王電,11,4,1,9.09%,96.59%,100.00%,2026-05-15
1150513,113,1535,中宇,11,3,2,18.18%,95.45%,100.00%,2026-05-15
1150513,113,1536,和大,12,3,3,25.00%,81.33%,100.00%,2026-05-15
1150513,113,1537,廣隆,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,1538,正峰,8,4,1,12.50%,93.75%,93.75%,2026-05-15
1150513,113,1539,巨庭,7,3,3,42.86%,88.57%,100.00%,2026-05-15
1150513,113,1540,喬福,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1541,錩泰,7,4,3,42.86%,100.00%,28.57%,2026-05-15
1150513,113,1558,伸興,9,3,1,11.00%,100.00%,100.00%,2026-05-15
1150513,113,1560,中砂,9,3,0,0.00%,96.30%,100.00%,2026-05-15
1150513,113,1563,巧新,10,4,2,20.00%,96.00%,100.00%,2026-05-15
1150513,113,1568,倉佑,9,3,1,11.11%,97.78%,100.00%,2026-05-15
1150513,113,1582,信錦,7,4,1,14.00%,100.00%,100.00%,2026-05-15
1150513,113,1583,程泰,8,4,2,25.00%,96.00%,100.00%,2026-05-15
1150513,113,1587,吉茂,8,4,1,12.50%,100.00%,100.00%,2026-05-15
1150513,113,1589,永冠-KY,10,3,1,10.00%,100.00%,100.00%,2026-05-15
1150513,113,1590,亞德客-KY,10,4,2,20.00%,100.00%,100.00%,2026-05-15
1150513,113,1597,直得,9,4,4,44.44%,95.83%,100.00%,2026-05-15
1150513,113,1598,岱宇,7,4,1,14.28%,95.24%,100.00%,2026-05-15
1150513,113,1603,華電,5,3,1,20.00%,100.00%,83.00%,2026-05-15
1150513,113,1604,聲寶,7,3,1,14.29%,91.43%,100.00%,2026-05-15
1150513,113,1605,華新,11,4,1,9.00%,91.67%,100.00%,2026-05-15
1150513,113,1608,華榮,7,3,1,14.29%,82.14%,100.00%,2026-05-15
1150513,113,1609,大亞,9,4,2,22.22%,96.83%,100.00%,2026-05-15
1150513,113,1611,中電,11,3,0,0.00%,94.54%,100.00%,2026-05-15
1150513,113,1612,宏泰,7,3,1,14.29%,95.29%,100.00%,2026-05-15
1150513,113,1614,三洋電,13,3,3,23.07%,92.30%,100.00%,2026-05-15
1150513,113,1615,大山,7,4,3,43.00%,78.50%,42.86%,2026-05-15
1150513,113,1616,億泰,7,3,2,28.57%,91.43%,100.00%,2026-05-15
1150513,113,1617,榮星,7,3,1,14.29%,78.57%,42.86%,2026-05-15
1150513,113,1618,合機,9,3,3,33.33%,100.00%,100.00%,2026-05-15
1150513,113,1626,艾美特-KY,9,4,1,11.11%,87.50%,100.00%,2026-05-15
1150513,113,1702,南僑,9,3,2,22.22%,82.54%,100.00%,2026-05-15
1150513,113,1707,葡萄王,11,4,4,36.00%,97.00%,100.00%,2026-05-15
1150513,113,1708,東鹼,11,3,1,9.09%,89.39%,100.00%,2026-05-15
1150513,113,1709,和益,19,4,3,16.00%,89.47%,100.00%,2026-05-15
1150513,113,1710,東聯,11,3,1,9.00%,100.00%,100.00%,2026-05-15
1150513,113,1711,永光,11,3,2,18.18%,99.00%,100.00%,2026-05-15
1150513,113,1712,興農,9,3,1,11.11%,97.78%,100.00%,2026-05-15
1150513,113,1713,國化,5,3,3,60.00%,100.00%,100.00%,2026-05-15
1150513,113,1714,和桐,9,3,2,22.22%,97.78%,100.00%,2026-05-15
1150513,113,1717,長興,12,4,1,8.33%,98.80%,100.00%,2026-05-15
1150513,113,1718,中纖,9,3,1,11.11%,96.30%,55.56%,2026-05-15
1150513,113,1720,生達,9,4,2,22.22%,86.11%,100.00%,2026-05-15
1150513,113,1721,三晃,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1722,台肥,9,3,2,22.22%,93.06%,100.00%,2026-05-15
1150513,113,1723,中碳,9,3,1,11.11%,96.00%,100.00%,2026-05-15
1150513,113,1725,元禎,7,3,2,28.57%,93.48%,0.00%,2026-05-15
1150513,113,1726,永記,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1727,中華化,9,4,3,33.33%,100.00%,100.00%,2026-05-15
1150513,113,1730,花仙子,7,4,4,57.14%,98.08%,100.00%,2026-05-15
1150513,113,1731,美吾華,13,4,4,30.77%,94.23%,53.85%,2026-05-15
1150513,113,1732,毛寶,9,4,4,44.44%,82.00%,100.00%,2026-05-15
1150513,113,1733,五鼎,7,4,1,14.29%,97.96%,100.00%,2026-05-15
1150513,113,1734,杏輝,11,3,1,9.09%,92.21%,100.00%,2026-05-15
1150513,113,1735,日勝化,9,2,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,1736,喬山,13,4,4,30.76%,97.40%,100.00%,2026-05-15
1150513,113,1737,臺鹽,9,3,2,22.00%,97.00%,100.00%,2026-05-15
1150513,113,1752,南光,8,4,1,12.50%,100.00%,100.00%,2026-05-15
1150513,113,1760,寶齡富錦,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,1762,中化生,7,3,2,28.57%,93.88%,100.00%,2026-05-15
1150513,113,1773,勝一,9,4,2,22.22%,94.44%,100.00%,2026-05-15
1150513,113,1776,展宇,9,3,2,22.22%,95.24%,100.00%,2026-05-15
1150513,113,1783,和康生,8,2,3,37.50%,94.44%,100.00%,2026-05-15
1150513,113,1786,科妍,9,3,2,22.00%,100.00%,100.00%,2026-05-15
1150513,113,1789,神隆,17,5,3,17.65%,97.79%,100.00%,2026-05-15
1150513,113,1795,美時,11,3,5,45.45%,93.63%,100.00%,2026-05-15
1150513,113,1802,台玻,15,3,1,6.67%,93.33%,53.00%,2026-05-15
1150513,113,1805,寶徠,9,3,2,22.22%,97.53%,100.00%,2026-05-15
1150513,113,1806,冠軍,7,4,1,14.29%,100.00%,28.57%,2026-05-15
1150513,113,1808,潤隆,6,2,1,14.29%,92.31%,100.00%,2026-05-15
1150513,113,1809,中釉,9,3,2,22.20%,94.00%,100.00%,2026-05-15
1150513,113,1810,和成,7,3,1,14.29%,85.71%,92.86%,2026-05-15
1150513,113,1817,凱撒衛,8,4,1,12.50%,96.88%,100.00%,2026-05-15
1150513,113,1903,士紙,7,3,2,28.57%,88.57%,42.86%,2026-05-15
1150513,113,1904,正隆,9,3,1,11.11%,98.00%,100.00%,2026-05-15
1150513,113,1905,華紙,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1906,寶隆,5,3,1,20.00%,100.00%,100.00%,2026-05-15
1150513,113,1907,永豐餘,7,3,1,14.00%,98.42%,100.00%,2026-05-15
1150513,113,1909,榮成,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,2002,中鋼,11,3,1,9.09%,95.35%,100.00%,2026-05-15
1150513,113,2006,東和鋼鐵,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,2007,燁興,7,3,0,0.00%,96.43%,100.00%,2026-05-15
1150513,113,2008,高興昌,9,3,1,11.11%,90.74%,55.56%,2026-05-15
1150513,113,2009,第一銅,7,3,1,14.29%,91.43%,100.00%,2026-05-15
1150513,113,2010,春源,10,3,1,10.00%,96.77%,30.00%,2026-05-15
1150513,113,2012,春雨,11,3,2,18.18%,95.45%,100.00%,2026-05-15
1150513,113,2013,中鋼構,11,3,1,9.09%,90.90%,100.00%,2026-05-15
1150513,113,2014,中鴻,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,2015,豐興,13,3,1,7.69%,92.31%,100.00%,2026-05-15
1150513,113,2017,官田鋼,12,3,2,16.67%,79.00%,100.00%,2026-05-15
1150513,113,2020,美亞,9,3,2,22.20%,97.10%,100.00%,2026-05-15
1150513,113,2022,聚亨,5,3,1,20.00%,92.00%,100.00%,2026-05-15
1150513,113,2023,燁輝,7,3,0,0.00%,94.29%,100.00%,2026-05-15
1150513,113,2024,志聯,7,3,2,28.57%,97.62%,85.71%,2026-05-15
1150513,113,2025,千興,5,3,0,0.00%,87.88%,80.00%,2026-05-15
1150513,113,2027,大成鋼,12,4,4,33.33%,88.89%,100.00%,2026-05-15
1150513,113,2028,威致,8,4,3,37.50%,100.00%,100.00%,2026-05-15
1150513,113,2029,盛餘,11,4,1,9.09%,98.18%,45.45%,2026-05-15
1150513,113,2030,彰源,9,3,1,11.11%,97.58%,100.00%,2026-05-15
1150513,113,2031,新光鋼,10,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,2032,新鋼,9,3,2,22.22%,94.44%,33.33%,2026-05-15
1150513,113,2033,佳大,5,1,1,20.00%,80.65%,100.00%,2026-05-15
1150513,113,2034,允強,9,4,2,22.00%,100.00%,100.00%,2026-05-15
1150513,113,2038,海光,10,4,0,0.00%,95.00%,100.00%,2026-05-15
1150513,113,2049,上銀,10,3,4,40.00%,97.50%,100.00%,2026-05-15
1150513,113,2059,川湖,7,4,3,42.86%,100.00%,100.00%,2026-05-15
1150513,113,2062,橋椿,7,4,2,28.57%,92.24%,100.00%,2026-05-15
1150513,113,2069,運錩,7,4,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,2101,南港,9,3,5,55.56%,91.67%,100.00%,2026-05-15
1150513,113,2102,泰豐,9,5,3,33.33%,94.44%,88.89%,2026-05-15
1150513,113,2103,台橡,7,3,3,42.86%,94.30%,100.00%,2026-05-15
1150513,113,2104,國際中橡,9,4,1,11.11%,96.00%,100.00%,2026-05-15
1150513,113,2105,正新,11,3,1,9.00%,98.18%,100.00%,2026-05-15
1150513,113,2106,建大,11,3,3,27.27%,98.70%,100.00%,2026-05-15
1150513,113,2107,厚生,9,3,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,2108,南帝,20,4,3,15.00%,95.00%,100.00%,2026-05-15
1150513,113,2109,華豐,11,3,1,9.09%,90.91%,100.00%,2026-05-15
1150513,113,2114,鑫永銓,9,3,1,11.00%,89.00%,100.00%,2026-05-15
1150513,113,2115,六暉-KY,9,3,3,33.33%,100.00%,88.88%,2026-05-15
1150513,113,2201,裕隆,9,3,1,11.11%,93.33%,100.00%,2026-05-15
1150513,113,2204,中華,9,3,2,22.22%,95.56%,100.00%,2026-05-15
1150513,113,2206,三陽工業,11,4,1,9.09%,94.32%,100.00%,2026-05-15
1150513,113,2207,和泰車,14,3,2,14.28%,92.86%,100.00%,2026-05-15
1150513,113,2208,台船,15,3,1,6.67%,89.00%,69.56%,2026-05-15
1150513,113,2211,長榮鋼,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,2227,裕日車,11,3,1,9.09%,98.18%,100.00%,2026-05-15
1150513,113,2228,劍麟,9,3,2,22.00%,94.00%,100.00%,2026-05-15
1150513,113,2231,為升,8,4,2,25.00%,85.41%,100.00%,2026-05-15
1150513,113,2233,宇隆,6,3,0,0.00%,95.56%,100.00%,2026-05-15
1150513,113,2236,百達-KY,7,4,2,29.00%,89.00%,100.00%,2026-05-15
1150513,113,2239,英利-KY,7,3,1,14.29%,72.86%,100.00%,2026-05-15
1150513,113,2241,艾姆勒,7,3,2,28.57%,91.43%,100.00%,2026-05-15
1150513,113,2243,宏旭-KY,7,3,1,14.29%,89.29%,100.00%,2026-05-15
1150513,113,2247,汎德永業,7,3,2,28.57%,95.24%,100.00%,2026-05-15
1150513,113,2248,華勝-KY,8,4,1,12.50%,100.00%,100.00%,2026-05-15
1150513,113,2250,IKKA-KY,9,3,0,0.00%,98.00%,100.00%,2026-05-15
1150513,113,2254,巨鎧精密-創,9,3,2,22.22%,98.61%,100.00%,2026-05-15
1150513,113,2258,鴻華先進-創,9,4,3,33.00%,88.90%,100.00%,2026-05-15
1150513,113,2301,光寶科,8,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,2302,麗正,9,4,3,33.33%,96.25%,94.44%,2026-05-15
1150513,113,2303,聯電,9,6,3,33.33%,100.00%,100.00%,2026-05-15
1150513,113,2305,全友,9,3,1,11.11%,95.00%,33.33%,2026-05-15
1150513,113,2308,台達電,12,5,4,33.33%,98.96%,100.00%,2026-05-15
1150513,113,2312,金寶,11,3,2,18.18%,94.34%,100.00%,2026-05-15
1150513,113,2313,華通,10,4,1,10.00%,97.37%,100.00%,2026-05-15
1150513,113,2314,台揚,7,3,1,14.28%,91.00%,100.00%,2026-05-15
1150513,113,2316,楠梓電,9,3,2,22.00%,87.30%,100.00%,2026-05-15
1150513,113,2317,鴻海,7,4,2,28.57%,96.43%,100.00%,2026-05-15
1150513,113,2321,東訊,9,3,2,22.22%,83.33%,94.44%,2026-05-15
1150513,113,2323,中環,9,3,3,33.34%,96.08%,100.00%,2026-05-15
1150513,113,2324,仁寶,15,5,1,6.67%,92.38%,100.00%,2026-05-15
1150513,113,2327,國巨,9,3,1,11.11%,87.32%,100.00%,2026-05-15
1150513,113,2328,廣宇,7,4,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,2329,華泰,8,5,2,25.00%,100.00%,100.00%,2026-05-15
1150513,113,2330,台積電,10,7,2,20.00%,97.02%,30.00%,2026-05-15
1150513,113,2331,精英,6,3,1,16.67%,98.63%,100.00%,2026-05-15
1150513,113,2332,友訊,9,3,1,11.11%,93.33%,100.00%,2026-05-15
1150513,113,2337,旺宏,14,3,2,14.29%,96.55%,100.00%,2026-05-15
1150513,113,2338,光罩,7,3,2,29.00%,100.00%,100.00%,2026-05-15
1150513,113,2340,台亞,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,2342,茂矽,11,4,1,9.09%,100.00%,100.00%,2026-05-15
1150513,113,2344,華邦電,11,4,3,27.27%,92.21%,100.00%,2026-05-15
1150513,113,2345,智邦,7,4,1,14.28%,95.92%,100.00%,2026-05-15
1150513,113,2347,聯強,9,3,1,11.10%,87.03%,100.00%,2026-05-15
1150513,113,2348,海悅,13,4,2,15.38%,86.54%,100.00%,2026-05-15
1150513,113,2349,錸德,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,2351,順德,9,4,1,11.11%,97.78%,100.00%,2026-05-15
1150513,113,2352,佳世達,9,5,2,22.22%,98.00%,100.00%,2026-05-15
1150513,113,2353,宏碁,7,4,2,28.75%,97.62%,100.00%,2026-05-15
1150513,113,2354,鴻準,5,3,2,40.00%,100.00%,100.00%,2026-05-15
1150513,113,2355,敬鵬,8,3,2,25.00%,92.45%,100.00%,2026-05-15
1150513,113,2356,英業達,9,3,0,0.00%,98.00%,100.00%,2026-05-15
