出表日期,發函日期,股票代號,公司名稱,違規事由,違反法規,裁處情形,date
1150514,1150319,4555,氣立,內部人事前申報持股異常案件,證券交易法第22條之2,處陳○○罰鍰84萬元,2026-05-15
1150514,1150316,1437,勤益控,上市上櫃公司買回庫藏股異常案件,證券交易法第28條之2,處顧○○罰鍰24萬元,2026-05-15
1150514,1150309,2867,三商壽,內部人事前申報持股異常案件,證券交易法第22條之2,處郭○○罰鍰8萬元,2026-05-15
1150514,1150204,6919,康霈*,康霈公司至遲已於114年9月5日即已決定延後三期臨床收案時程，該項消息足以影響正當投資人之投資決定及對其市場價格之預期，對證券價格有重大影響，惟該公司未於事實發生之日起二日內公告相關資訊，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第8款規定情事。,證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第8款,處徐○○罰鍰新臺幣24萬元,2026-05-15
1150514,1150204,8104,錸寶,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰8萬元,2026-05-15
1150514,1150112,2208,台船,內部人事前申報持股異常案件,證券交易法第22條之2,處余○○罰鍰新台幣8萬,2026-05-15
1150514,1150105,2376,技嘉,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處劉○○罰鍰24萬元,2026-05-15
1150514,1150105,1527,鑽全,內部人事前申報持股異常案件,證券交易法第22條之2,處沈○○罰鍰8萬元,2026-05-15
1150514,1150105,6191,精成科,內部人事前申報持股異常案件,證券交易法第22條之2,處張○○罰鍰8萬元,2026-05-15
1150514,1150105,6477,安集,內部人事前申報持股異常案件,證券交易法第22條之2,處梁○○罰鍰8萬元,2026-05-15
1150514,1150105,8454,富邦媒,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰24萬元,2026-05-15
1150514,1150105,6830,汎銓,內部人事前申報持股異常案件,證券交易法第22條之2,處簡○○罰鍰8萬元,2026-05-15
1150516,1150504,6706,惠特,"經查惠特科技股份有限公司（下稱惠特公司）因客戶泉州三安半導體科技股份有限公司及湖北三安光電有限公司未依約支付設備款，於113年1月4日向中國國際經濟貿易仲裁委員會申請仲裁，請求支付金額約美金4,300萬元(折合新臺幣約13億元)，占該公司112年第四季合併總資產約達21%，屬證券交易法施行細則第7條第2款對股東權益或證券價格有重大影響之事件，而有應依證券交易法第36條第3項第2款規定，於事實發生之日起二日內公告申報之情事，惟惠特公司遲至115年2月4日接獲律師通知仲裁結果確定始辦理公告申報，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第2款規定情事。",證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第2款。,處徐○○罰鍰新臺幣24萬元,2026-05-17
1150516,1150428,1435,中福,中福國際股份有限公司（下稱中福公司）未依規定期限重行公告申報114年度財務報告，爰依證券交易法第178條第1項第4款及第179條規定，處中福公司為行為之負責人陳○新臺幣24萬元罰鍰。,證券交易法第178條第1項第4款及第179條規定,處陳○新臺幣24萬元罰鍰,2026-05-17
1150516,1150408,3058,立德,"立德電子股份有限公司(下稱立德公司)於112年9月至
113 年 10 月間連續處分所持有之起而行綠能股份有限公司
股權合計15,400,000股，未依公司所定取得或處分資產處
理程序第 6 條規定之投資循環內部控制作業程序填寫投資
取得(處分)申請單，及未按核決權限表經相關權責人員簽
核與提報最近一次董事會，核已違反公開發行公司取得或
處分資產處理準則第7條第1項規定。",證券交易法第36條之1,處包○○君罰鍰新臺幣24萬元。,2026-05-17
1150516,1150401,1589,永冠-KY,永冠公司未依證券交易法第36條第1項第1款規定，於114年度終了後3個月內(115年3月31日前)公告申報114年度財務報告。,證券交易法第178條第1項第4款及179條。,處張OO罰鍰新臺幣24萬元。,2026-05-17
1150516,1150330,3591,艾笛森,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處鄭○○罰鍰24萬元,2026-05-17
1150516,1150323,6625,必應,內部人事前申報持股異常案件,證券交易法第22條之2,處譚○○罰鍰8萬元,2026-05-17
1150516,1150320,1101,台泥,未依規定申報變動取得飛宏股份應行申報事項案件,證券交易法第43條之1,處張○○罰鍰24萬元,2026-05-17
1150516,1150319,4555,氣立,內部人事前申報持股異常案件,證券交易法第22條之2,處陳○○罰鍰84萬元,2026-05-17
1150516,1150316,1437,勤益控,上市上櫃公司買回庫藏股異常案件,證券交易法第28條之2,處顧○○罰鍰24萬元,2026-05-17
1150516,1150309,2867,三商壽,內部人事前申報持股異常案件,證券交易法第22條之2,處郭○○罰鍰8萬元,2026-05-17
1150516,1150204,6919,康霈*,康霈公司至遲已於114年9月5日即已決定延後三期臨床收案時程，該項消息足以影響正當投資人之投資決定及對其市場價格之預期，對證券價格有重大影響，惟該公司未於事實發生之日起二日內公告相關資訊，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第8款規定情事。,證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第8款,處徐○○罰鍰新臺幣24萬元,2026-05-17
1150516,1150204,8104,錸寶,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰8萬元,2026-05-17
1150516,1150112,2208,台船,內部人事前申報持股異常案件,證券交易法第22條之2,處余○○罰鍰新台幣8萬,2026-05-17
1150516,1150105,2376,技嘉,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處劉○○罰鍰24萬元,2026-05-17
1150516,1150105,1527,鑽全,內部人事前申報持股異常案件,證券交易法第22條之2,處沈○○罰鍰8萬元,2026-05-17
1150516,1150105,6191,精成科,內部人事前申報持股異常案件,證券交易法第22條之2,處張○○罰鍰8萬元,2026-05-17
1150516,1150105,6477,安集,內部人事前申報持股異常案件,證券交易法第22條之2,處梁○○罰鍰8萬元,2026-05-17
1150516,1150105,8454,富邦媒,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰24萬元,2026-05-17
1150516,1150105,6830,汎銓,內部人事前申報持股異常案件,證券交易法第22條之2,處簡○○罰鍰8萬元,2026-05-17
1150516,1150504,6706,惠特,"經查惠特科技股份有限公司（下稱惠特公司）因客戶泉州三安半導體科技股份有限公司及湖北三安光電有限公司未依約支付設備款，於113年1月4日向中國國際經濟貿易仲裁委員會申請仲裁，請求支付金額約美金4,300萬元(折合新臺幣約13億元)，占該公司112年第四季合併總資產約達21%，屬證券交易法施行細則第7條第2款對股東權益或證券價格有重大影響之事件，而有應依證券交易法第36條第3項第2款規定，於事實發生之日起二日內公告申報之情事，惟惠特公司遲至115年2月4日接獲律師通知仲裁結果確定始辦理公告申報，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第2款規定情事。",證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第2款。,處徐○○罰鍰新臺幣24萬元,2026-05-17
1150516,1150428,1435,中福,中福國際股份有限公司（下稱中福公司）未依規定期限重行公告申報114年度財務報告，爰依證券交易法第178條第1項第4款及第179條規定，處中福公司為行為之負責人陳○新臺幣24萬元罰鍰。,證券交易法第178條第1項第4款及第179條規定,處陳○新臺幣24萬元罰鍰,2026-05-17
1150516,1150408,3058,立德,"立德電子股份有限公司(下稱立德公司)於112年9月至
113 年 10 月間連續處分所持有之起而行綠能股份有限公司
股權合計15,400,000股，未依公司所定取得或處分資產處
理程序第 6 條規定之投資循環內部控制作業程序填寫投資
取得(處分)申請單，及未按核決權限表經相關權責人員簽
核與提報最近一次董事會，核已違反公開發行公司取得或
處分資產處理準則第7條第1項規定。",證券交易法第36條之1,處包○○君罰鍰新臺幣24萬元。,2026-05-17
1150516,1150401,1589,永冠-KY,永冠公司未依證券交易法第36條第1項第1款規定，於114年度終了後3個月內(115年3月31日前)公告申報114年度財務報告。,證券交易法第178條第1項第4款及179條。,處張OO罰鍰新臺幣24萬元。,2026-05-17
1150516,1150330,3591,艾笛森,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處鄭○○罰鍰24萬元,2026-05-17
1150516,1150323,6625,必應,內部人事前申報持股異常案件,證券交易法第22條之2,處譚○○罰鍰8萬元,2026-05-17
1150516,1150320,1101,台泥,未依規定申報變動取得飛宏股份應行申報事項案件,證券交易法第43條之1,處張○○罰鍰24萬元,2026-05-17
1150516,1150319,4555,氣立,內部人事前申報持股異常案件,證券交易法第22條之2,處陳○○罰鍰84萬元,2026-05-17
1150516,1150316,1437,勤益控,上市上櫃公司買回庫藏股異常案件,證券交易法第28條之2,處顧○○罰鍰24萬元,2026-05-17
1150516,1150309,2867,三商壽,內部人事前申報持股異常案件,證券交易法第22條之2,處郭○○罰鍰8萬元,2026-05-17
1150516,1150204,6919,康霈*,康霈公司至遲已於114年9月5日即已決定延後三期臨床收案時程，該項消息足以影響正當投資人之投資決定及對其市場價格之預期，對證券價格有重大影響，惟該公司未於事實發生之日起二日內公告相關資訊，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第8款規定情事。,證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第8款,處徐○○罰鍰新臺幣24萬元,2026-05-17
1150516,1150204,8104,錸寶,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰8萬元,2026-05-17
1150516,1150112,2208,台船,內部人事前申報持股異常案件,證券交易法第22條之2,處余○○罰鍰新台幣8萬,2026-05-17
1150516,1150105,2376,技嘉,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處劉○○罰鍰24萬元,2026-05-17
1150516,1150105,1527,鑽全,內部人事前申報持股異常案件,證券交易法第22條之2,處沈○○罰鍰8萬元,2026-05-17
1150516,1150105,6191,精成科,內部人事前申報持股異常案件,證券交易法第22條之2,處張○○罰鍰8萬元,2026-05-17
1150516,1150105,6477,安集,內部人事前申報持股異常案件,證券交易法第22條之2,處梁○○罰鍰8萬元,2026-05-17
1150516,1150105,8454,富邦媒,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰24萬元,2026-05-17
1150516,1150105,6830,汎銓,內部人事前申報持股異常案件,證券交易法第22條之2,處簡○○罰鍰8萬元,2026-05-17
1150517,1150504,6706,惠特,"經查惠特科技股份有限公司（下稱惠特公司）因客戶泉州三安半導體科技股份有限公司及湖北三安光電有限公司未依約支付設備款，於113年1月4日向中國國際經濟貿易仲裁委員會申請仲裁，請求支付金額約美金4,300萬元(折合新臺幣約13億元)，占該公司112年第四季合併總資產約達21%，屬證券交易法施行細則第7條第2款對股東權益或證券價格有重大影響之事件，而有應依證券交易法第36條第3項第2款規定，於事實發生之日起二日內公告申報之情事，惟惠特公司遲至115年2月4日接獲律師通知仲裁結果確定始辦理公告申報，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第2款規定情事。",證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第2款。,處徐○○罰鍰新臺幣24萬元,2026-05-18
1150517,1150428,1435,中福,中福國際股份有限公司（下稱中福公司）未依規定期限重行公告申報114年度財務報告，爰依證券交易法第178條第1項第4款及第179條規定，處中福公司為行為之負責人陳○新臺幣24萬元罰鍰。,證券交易法第178條第1項第4款及第179條規定,處陳○新臺幣24萬元罰鍰,2026-05-18
1150517,1150408,3058,立德,"立德電子股份有限公司(下稱立德公司)於112年9月至
113 年 10 月間連續處分所持有之起而行綠能股份有限公司
股權合計15,400,000股，未依公司所定取得或處分資產處
理程序第 6 條規定之投資循環內部控制作業程序填寫投資
取得(處分)申請單，及未按核決權限表經相關權責人員簽
核與提報最近一次董事會，核已違反公開發行公司取得或
處分資產處理準則第7條第1項規定。",證券交易法第36條之1,處包○○君罰鍰新臺幣24萬元。,2026-05-18
1150517,1150401,1589,永冠-KY,永冠公司未依證券交易法第36條第1項第1款規定，於114年度終了後3個月內(115年3月31日前)公告申報114年度財務報告。,證券交易法第178條第1項第4款及179條。,處張OO罰鍰新臺幣24萬元。,2026-05-18
1150517,1150330,3591,艾笛森,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處鄭○○罰鍰24萬元,2026-05-18
1150517,1150323,6625,必應,內部人事前申報持股異常案件,證券交易法第22條之2,處譚○○罰鍰8萬元,2026-05-18
1150517,1150320,1101,台泥,未依規定申報變動取得飛宏股份應行申報事項案件,證券交易法第43條之1,處張○○罰鍰24萬元,2026-05-18
1150517,1150319,4555,氣立,內部人事前申報持股異常案件,證券交易法第22條之2,處陳○○罰鍰84萬元,2026-05-18
1150517,1150316,1437,勤益控,上市上櫃公司買回庫藏股異常案件,證券交易法第28條之2,處顧○○罰鍰24萬元,2026-05-18
1150517,1150309,2867,三商壽,內部人事前申報持股異常案件,證券交易法第22條之2,處郭○○罰鍰8萬元,2026-05-18
1150517,1150204,6919,康霈*,康霈公司至遲已於114年9月5日即已決定延後三期臨床收案時程，該項消息足以影響正當投資人之投資決定及對其市場價格之預期，對證券價格有重大影響，惟該公司未於事實發生之日起二日內公告相關資訊，核有違反證券交易法第36條第3項第2款及同法施行細則第7條第8款規定情事。,證券交易法第36條第3項第2款、第178條第1項第4款、第179條、證券交易法施行細則第7條第8款,處徐○○罰鍰新臺幣24萬元,2026-05-18
1150517,1150204,8104,錸寶,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰8萬元,2026-05-18
1150517,1150112,2208,台船,內部人事前申報持股異常案件,證券交易法第22條之2,處余○○罰鍰新台幣8萬,2026-05-18
1150517,1150105,2376,技嘉,未依規定申報初次取得技嘉科技股份應行申報事項案件,證券交易法第43條之1,處劉○○罰鍰24萬元,2026-05-18
1150517,1150105,1527,鑽全,內部人事前申報持股異常案件,證券交易法第22條之2,處沈○○罰鍰8萬元,2026-05-18
1150517,1150105,6191,精成科,內部人事前申報持股異常案件,證券交易法第22條之2,處張○○罰鍰8萬元,2026-05-18
1150517,1150105,6477,安集,內部人事前申報持股異常案件,證券交易法第22條之2,處梁○○罰鍰8萬元,2026-05-18
1150517,1150105,8454,富邦媒,內部人事前申報持股異常案件,證券交易法第22條之2,處林○○罰鍰24萬元,2026-05-18
1150517,1150105,6830,汎銓,內部人事前申報持股異常案件,證券交易法第22條之2,處簡○○罰鍰8萬元,2026-05-18
