出表日期,產業類別,公司代號,公司名稱,董事酬金-前年支付,董事酬金-今年支付,董事酬金-合計,董事酬金加計兼任員工酬金-前年支付,董事酬金加計兼任員工酬金-今年支付,加計兼任員工酬金-合計,酬金總額占稅後損益百分比(%)-董事酬金,酬金總額占稅後損益百分比(%)-加計兼任員工酬金,平均每位董事酬金-董事酬金,平均每位董事酬金-加計兼任員工酬金,領取來自子公司以外轉投資事業或母公司酬金,稅後純益,每股盈餘,股東權益報酬率(%),實收資本額(仟元),稅後損益與董監酬金變動之關聯性與合理性說明,date
1150415,水泥工業,1101,台泥,30154418,0,30154418,66046025,0,66046025,-0.2596,-0.5685,2055516,4502115,5452000,-11617608,-1.60,-3.95,77511817.000000,"一、董事酬勞來自母公司部份係依據母公司章程第二十五條規定：
　　本公司當年度如有獲利，應提撥：
　　(一)千分之一至百分之三為員工酬勞，前項員工酬勞數額中，應提撥不低於其百分
　　　　之十為基層員工分派酬勞。
　　(二)董事酬勞：不高於百分之一。
　　但公司尚有累積虧損時，應預先保留彌補數額，再依前項第一款及第二款比例提撥員
　　工酬勞及董事酬勞。
　　員工酬勞得以股票或現金為之，且發給對象得包括符合一定條件之控制或從屬公司員
　　工。
　　員工酬勞及董事酬勞之分派，應由董事會以董事三分之二以上之出席及出席董事過半
　　數同意之決議行之，並報告股東會。
二、董事酬勞來自子公司部份係依據各子公司公司章程規定辦理。
三、董事酬勞來自子公司以外轉投資事業酬金，係各該公司依據其公司規定辦理。",2026-05-15
1150415,水泥工業,1102,亞泥,34470429,125155489,159625918,47082845,130370483,177453328,+1.5915,+1.7693,10641728,11830222,231536177,+10029823,3.00,5.00,35465629.000000,"本公司酬金發放係考量稅後純益之比例,經營績效與未來風險,以擬定合理之酬金金額",2026-05-15
1150415,水泥工業,1103,嘉泥,29877025,4873496,34750521,31734615,4918765,36653380,+6.2471,+6.5892,4964360,5236197,0,+556262,0.84,2.81,7902474.000000,本公司依章程規定，以當年度稅前利益扣除分派員工酬勞及董事酬勞前之金額為基礎提撥董事酬勞，提撥比例不超過3%，並綜合考量公司營運狀況及未來發展決定。,2026-05-15
1150415,水泥工業,1104,環泥,5034000,49743612,54777612,34371034,55125422,89496456,+3.1186,+5.0952,7825373,12785208,0,+1756478,2.56,7.29,6866818.000000,114年度稅後損益較前年度增加。,2026-05-15
1150415,水泥工業,1108,幸福,5768400,57659903,63428303,11991409,57984861,69976270,+7.2024,+7.9459,9061186,9996610,0,+880657,2.18,16.10,4047380.000000,"1.依公司章程規定，本公司董事得比照同業給付標準支領報酬，不論盈虧均需支付之。
2.本公司每年度決算如有獲利，依公司章程之比例提撥董事酬勞及員工酬勞，董事酬勞經由薪資報酬委員會依照「董事績效評估辦法」評估結果計算與審核個人績效發放，並提報董事會核定之。本年度稅後純益計880,657仟元，較上年度493,938仟元增加，故本年度董事酬金較上年度增加。",2026-05-15
1150415,水泥工業,1109,信大,9121415,19478363,28599778,9121415,19478363,28599778,+8.1443,+8.1443,3177753,3177753,26195193,+351163,1.03,3.73,3411589.000000,"1.董事酬金：本公司給付董事之酬金政策係訂於公司章程，公司每年如有獲利時，依公司章程之規定分配董事酬勞，並經董事會通過，董事之薪資報酬及車馬費授權董事會依同業通常之水準議定之。
2.本年度稅後損益較去年減少，董事酬勞亦相對減少。",2026-05-15
1150415,水泥工業,1110,東泥,3624000,10352005,13976005,18185834,11152005,29337839,+6.8000,+14.2744,1270546,2667076,0,+205528,0.36,2.38,5720008.000000,"1.本公司給付酬金政策、標準及組合係依據本公司章程規定辦理：
本公司全體董事(含獨立董事)車馬費、報酬依本公司章程第31條規定，由薪酬委員會參考同業通常水準支給情形、董事績效評估結果及貢獻之價值評定後提請董事會決議之，另當年度公司結算如有獲利，依本公司章程第37條中亦明訂提撥不超過年度獲利之3%作為董事酬勞。
2.董事酬金佔稅後純益比例 114年為6.8% 113年為6.7230%，114年與113年差異係本年度稅後損益較去年度衰退，故變動尚屬合理。",2026-05-15
1150415,食品工業,1201,味全,20215630,3018309,23233939,20215630,3018309,23233939,+11.4422,+11.4422,2581549,2581549,0,+203055,0.40,2.65,5060629.000000,"1.本公司董事之報酬，授權董事會依同業通常水準議定之，董事執行本公司職務，不論營業盈虧，本公司得支給報酬；本公司董事之報酬為實際反應其責任負擔與市場薪酬水準。
2.本公司董事擔任子公司董事長，其報酬授權董事會依同業通常水準議定之。
3.本公司董事酬勞係依照公司章程規定提列分配，經薪酬委員會審議，並由董事會決議之。",2026-05-15
1150415,食品工業,1203,味王,9235377,16060857,25296234,11966777,16158655,28125432,+5.8752,+6.5323,1734995,1929042,0,+430560,1.81,9.42,2400000.000000,"本年度稅後純益金額較去年減少130,482,696元，本年度董事酬金金額較去年度減少5,998,707元，占稅後純益比例增加0.2972%，並無大幅變動之情形，董事酬金未高於同業水準,經本公司薪資報酬委員會審議,應屬合理。",2026-05-15
1150415,食品工業,1210,大成,5602000,45000000,50602000,40407183,50785000,91192183,+1.3962,+2.5162,4600182,8290198,0,+3624189,4.33,12.25,8947673.000000,本公司章程依法訂定董事酬勞，並經薪酬委員會審議，以當年度獲利狀況分派不高於百分之二為董事酬勞，故稅後損益與酬金變動之關聯性尚屬合理。,2026-05-15
1150415,食品工業,1213,大飲,2136530,0,2136530,3176178,0,3176178,-4.4161,-6.5651,237392,352909,0,-48380,-0.85,-7.05,566226.000000,董事僅每月領車馬費，與經營績效及未來風險尚無關聯性。,2026-05-15
1150415,食品工業,1215,卜蜂,27022000,0,27022000,106847962,0,106847962,+0.8820,+3.4875,3377750,13355995,0,+3063774,10.39,25.62,2947901.000000,"績效分配辦法調整,由稅後淨利金額發放制改為稅前淨利金額發放制",2026-05-15
1150415,食品工業,1216,統一,35981000,339557000,375538000,304956000,356382000,661338000,+1.9133,+3.3694,26824143,47238429,30099000,+19627594,3.45,14.86,56820154.000000,"合理性說明：本公司之子公司公司章程均依法訂定董監事酬勞，以當年度獲利狀況之定額或比率，分派董監事酬勞，故稅後損益與酬金變動之關聯性尚屬合理。 					
監察人之合理性說明：本公司以審計委員會取代監察人之職能，不適用本項申報。",2026-05-15
1150415,食品工業,1217,愛之味,5744822,2153000,7897822,27069622,2202302,29271924,+3.7848,+14.0277,877536,3252436,25795708,+208672,0.42,2.85,4945134.000000,"114年度稅後純益208,672仟元，113年度稅後純益286,939仟元，本公司114年度發放之董事酬勞較113年度減少14.16%，係本年度之稅後純益較去年度衰退，故酬金之變動尚在合理範圍內。",2026-05-15
1150415,食品工業,1218,泰山,7654516,0,7654516,12146861,160075,12306936,+0.9904,+1.5924,799010,1284649,0,+772856,1.59,5.99,4999990.000000,"1、本公司董事之酬勞擬定，依公司章程第十九條之一(本公司董事長及董事執行本公司職務時之報酬，授權董事會參酌本公司薪資報酬委員會建議內容並依董事長及董事個別對本公司營運參與之程度及貢獻之價值及同業通常之水準議定之。)及三十二規定辦理(本公司年度如有獲利，應提撥百分之二以上為員工酬勞及百分之五以下為董事酬勞，但公司尚有累積虧損時，應預先保留彌補數額。前項員工酬勞發給股票或現金之對象，得包括符合一定條件之控制或從屬公司員工。)。
2.114年度公司純益雖較113年度減少，但董事酬金加計兼任員工酬金總額占稅後純益(純損)之比例1.5924%，實屬合理。",2026-05-15
1150415,食品工業,1219,福壽,4320000,9325296,13645296,11276080,9325296,20601376,+8.7959,+13.2798,1516144,2289042,0,+155133,0.45,3.39,3412384.000000,"董事酬金係依照公司章程提列,兼任員工酬金依照同業相當酬金水準支給。",2026-05-15
1150415,食品工業,1220,台榮,2958248,2038260,4996508,9472949,2171884,11644833,+36.9318,+86.0731,555168,1293870,0,+13529,0.08,1.59,1770779.000000,"本公司114年度合併稅後純益為43,228仟元，董事酬金合併佔稅後純益比例為26.9%
本公司113年度合併稅後純益為235,765仟元，董事酬金合併佔稅後純益比例為11.2%
董事酬金合併佔稅後純益比例提高之主因為稅後純益較去年減少所致。",2026-05-15
1150415,食品工業,1225,福懋油,3622734,9471081,13093815,3622734,9471081,13093815,+3.3280,+3.3280,1454868,1454868,0,+393442,1.62,11.20,2422683.000000,"給付酬金政策：董事支領出席會議之車馬費，董事長、副董事長、總經理按月支領薪資 					
給付酬金標準：董事長、副董事長、總經理薪資按照一般標準支領					
訂定酬金之程序：董事出席會議之車馬費及薪資於聘用時經董事會通過					
與經營績效之關係：經營績效之優劣，影響經營主管年終獎金之發放與盈餘分派",2026-05-15
1150415,食品工業,1227,佳格,485000,8030795,8515795,11960503,8030795,19991298,+0.7045,+1.6538,1064474,2498912,0,+1208790,1.33,6.56,9150897.000000,本公司年度如有稅前利益扣除分派員工酬勞及董事酬勞前之利益，應提撥不低於0.5%為員工酬勞，由董事會決議以股票或現金分派發放，其發放對象包含符合一定條件之從屬公司員工；本公司得以上開稅前利益扣除分派員工酬勞及董事酬勞前之利益，由董事會決議提撥不高於0.75%為董事酬勞。員工酬勞及董事酬勞分派案應提股東會報告。但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞及董事酬勞。公司董事(含獨立董事)及經理人薪資報酬依其對本公司營運參與程度及績效評估做整體考量，並依據本公司「薪資報酬委員會組織規程」於年度結束後對董事及經理人之年度績效予以評核，考量面向包含公司核心價值之實踐與營運管理能力(如實踐經營理念、落實企業文化、展現領導及管理能力)、財務與業務經營績效指標與綜合管理指標(如財務與業務績效、市場領導性、創新及風險管理)、持續進修與對永續經營之參與，實際發放金額由薪酬委員會審議後，並提報董事會通過後實行。,2026-05-15
1150415,食品工業,1229,聯華,2428000,9500000,11928000,20059000,11897000,31956000,+0.2593,+0.6947,1325333,3550667,11746000,+4599753,2.57,7.32,17959607.000000,本公司114年董事酬金總額佔稅後純益比例為0.6947％較去年0.6552%略增，主係114年度稅後淨利較去年同期增加所致。依據公司章程規定，公司年度如有獲利，應以不超過當年度獲利狀況之百分之一分派董事酬勞。本公司董事酬金係薪資報酬委員會綜合考慮公司營業收入、營業淨利及稅後損益…等財務指標，以及同業董監酬金資訊後評估得之，並提請董事會議定之，有其一致性及合理性。,2026-05-15
1150415,食品工業,1231,聯華食,530000,20124412,20654412,18062792,20557031,38619823,+1.8141,+3.3921,2294935,4291091,0,+1138520,3.81,16.47,2984544.000000,"本年度稅後純益1,138,520,000元較去年度稅後純益1,145,728,000元，減少約0.63%
本年度董事酬勞20,654,412元，較去年董事酬勞21,153,104元，減少2.36%
因本年度稅後純益減少，其董事酬勞亦較去年度減少，尚屬合理。",2026-05-15
1150415,食品工業,1232,大統益,7410000,26391863,33801863,17638545,27441863,45080408,+2.5598,+3.4139,3072897,4098219,0,+1320490,8.25,23.06,1599749.000000,"1.依本公司章程規定：本公司當年度如有獲利，應提撥不得少於百分之二為員工酬勞(其中提撥與基層員工酬勞的比率不得少於百分之一.二)，及提撥不高於百分之二為董監事酬勞。
2.本公司民國114年度員工酬勞金額為NT$32,931,945元，董事酬勞金額為NT$24,698,960元。",2026-05-15
1150415,食品工業,1233,天仁,5946267,1801566,7747833,9351351,1806066,11157417,+11.4073,+16.4273,860870,1239713,0,+67920,0.75,4.81,905919.000000,"依本公司章程第33條本公司應依當年度獲利狀況，提撥不低於百分之二為員工酬勞及不高於百分之二為董監事酬勞。但公司尚有累積虧損(包括調整未分配盈餘金額)時，應預先保留彌補數額。所謂獲利狀況係指稅前純益扣除分配員工酬勞及董監事酬勞前之利益。
稅前純利3%分派員工酬勞計新台幣2,698,116元及董監事酬勞2%計新台幣1,798,744元，均以現金方式發放。",2026-05-15
1150415,食品工業,1234,黑松,8550666,28102073,36652739,14571594,28184730,42756324,+4.5568,+5.3157,2874725,3353437,0,+804346,2.00,4.27,4018711.000000,本公司依章程規定當年度如有獲利，應提撥不高於百分之三為董事酬勞，故稅後損益與酬金變動之關聯性尚屬合理。,2026-05-15
1150415,食品工業,1235,興泰,210000,100000,310000,210000,100000,310000,-10.5550,-10.5550,44286,44286,0,-2937,-0.03,-0.09,1885778.000000,"114年度稅後純益較113年度減少,故依公司章程擬議提列董監酬金也減少40萬元",2026-05-15
1150415,食品工業,1236,宏亞,1733000,0,1733000,8747158,0,8747158,-4.6933,-23.6890,247571,1249594,0,-36925,-0.43,-1.45,866740.000000,114年度因節慶移轉效應，致使營收減少，稅後損益衰退，董事酬勞亦未提撥，惟董事酬金主要為獨立董事薪資及兼任員工薪資，無法與稅後損益完全連動，應屬合理。,2026-05-15
1150415,食品工業,1256,鮮活果汁-KY,3119909,1345000,4464909,11910271,5166600,17076871,+1.1678,+4.4666,558114,2134609,0,+382325,11.19,10.36,357722.000000,依本公司章程規定，本公司應以當年度獲利狀況之不高於百分之一分派員工酬勞及不高於百分之二為董事酬勞。但公司尚有累積虧損時，應予彌補。114年度與113年度董事酬金占稅後純益之比例相當。,2026-05-15
1150415,食品工業,1702,南僑,7621990,15666566,23288556,159320190,16023962,175344152,+8.4106,+63.3249,2587617,19482684,0,+276896,1.12,2.85,2941330.000000,"董事酬勞係依照公司章程及法令規定所提列分配，並由董事會決議之。
其餘各項酬金政策及標準，悉依本公司經營績效，並參酌同業水準議定。",2026-05-15
1150415,食品工業,1737,臺鹽,9331486,8429507,17760993,10712783,8496308,19209091,+4.4417,+4.8039,1973444,2134343,0,+399867,2.00,5.84,2000000.000000,"本公司為使給付董事酬金與經營績效直接連結，業於公司章程中明訂:「公司年度如有獲利，提撥百分之二以下為董事酬勞(不含獨立董事)。但公司尚有累積虧損時，應預先保留彌補數額。」即公司經營績效佳則董事酬勞相對較高。
另為符合合理性，前述配發酬勞須提送薪資報酬委員會審議、董事會核議，並提股東常會報告。",2026-05-15
1150415,食品工業,3054,立萬利,940000,5122176,6062176,7078596,7398699,14477295,+3.8333,+9.1544,699213,1669815,0,+158146,1.96,17.48,806510.000000,本公司獨立董事酬金係依公司章程第三十條規定，由薪資報酬委員會審議各董事對公司參與程度及貢獻之價值，並參酌同業通常之水準，將績效之風險之合理公平與所得報酬連結，及參酌公司營運績效提交董事會決議。,2026-05-15
1150415,食品工業,7780,大研生醫*,1528292,2160000,3688292,7223231,2160000,9383231,+1.0916,+2.7772,409810,1042581,18458607,+337867,0.51,10.01,810024.000000,"本公司依公司章程規定，年度如有獲利，應提撥員工酬勞不低於2%（其中1％做為基層員工酬勞分派)及董事酬勞不高於3%。員工酬勞得以現金或發行新股方式發放之，其發放對象得包括符合一定條件之從屬公司員工，該一定條件由董事會訂定之。但公司尚有累積虧損時，應預先保留彌補數額。
前項所稱之獲利係指當年度稅前利益扣除分派員工酬勞及董事酬勞前之利益。
員工酬勞、董事酬勞分派比率之決定及員工酬勞以股票或現金為之，應由董事會以董事三分之二以上之出席及出席董事過半數同意之決議行之，並報告於股東會。
本公司114年度稅前淨利(扣除員工酬勞及董事酬勞金額前之稅前淨利)計算，董事酬勞不高於3%。",2026-05-15
1150415,食品工業,7791,皇家可口,3600000,0,3600000,30498111,99653,30597764,+0.8923,+7.5844,547112,4650116,0,+403431,5.61,11.89,800000.000000,本公司參酌公司營運績效、產業&#12213;險、發展趨勢、業界薪酬標準，並依實際績效表現，擬議董事酬&#12198;議案提報董事會。,2026-05-15
1150415,塑膠工業,1301,台塑,9390000,0,9390000,33791752,0,33791752,-0.0934,-0.3363,782500,2815979,60340854,-10048659,-1.58,-3.08,63657408.000000,"本公司114年稅後虧損，平均每位董事酬金782,500元，低於去年平均每位董事酬金1,971,540元，且本公司章程未訂董事酬勞規定，即無發放「董事酬勞」。",2026-05-15
1150415,塑膠工業,1303,南亞,31572000,0,31572000,78752000,8000,78760000,+0.6987,+1.7430,2382792,5944151,63199000,+4518598,0.57,1.38,79308216.000000,114年度全體董事酬金總額占稅後純益1.7430%，較113年度2.4441%減少，主因114年度稅後純益較113年度增加所致。,2026-05-15
1150415,塑膠工業,1304,台聚,10548461,0,10548461,53951461,0,53951461,-0.3780,-1.9331,1172051,5994607,2590000,-2790962,-2.60,-16.38,11887635.000000,"1.董事報酬依公司章程第19條之一「不論公司營業盈虧，依其對本公司營運參與程度及貢獻之價值，並參酌國內業界水準」之規定辦理；酬勞依公司章程第34條規定董事酬勞不超過當年度獲利百分之一，員工酬勞不低於當年度獲利百分之一。上述酬金係參酌公司經營績效及董事績效評估結果議定之。 
2.由薪資報酬委員會參考公司整體的營運績效、產業未來、經營風險及發展趨勢，經評估董事之績效目標達成情形後，訂定其薪資報酬之內容及數額，做成建議提董事會通過，並隨時視實際經營狀況及相關法令適時檢討董事酬金制度，且不應引導董事追求薪資報酬而從事逾越公司風險胃納之行為。",2026-05-15
1150415,塑膠工業,1305,華夏,11795000,0,11795000,21608000,0,21608000,-1.2835,-2.3513,1310556,2400889,31391000,-918980,-1.58,-11.19,5810505.000000,"(1)本公司董事之報酬，依其對本公司營運參與之程度及貢獻之價值，並參酌國內業界水準議定之。
(2)本公司董事之業務執行費用，係車馬費及出席費。",2026-05-15
1150415,塑膠工業,1307,三芳,3528845,19000000,22528845,3528845,19000000,22528845,+1.9896,+1.9896,3218406,3218406,0,+1132305,2.85,11.12,3978181.000000,"本公司董事酬金屬報酬及業務執行費用項目，係依市場一般行情作訂定，酬勞係依新修訂公司法於章程訂定不高於3%的董事酬勞。
2025年及2024年董事酬金總額占稅後純益分別為1.990%及1.877%
其比率差異不大,其變動關聯尚屬合理",2026-05-15
