Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
1451,年興,1298,8,21738,16.7500,16.7500,8146,17.0000,2201,2026-05-15
1452,宏益,300,6,3313,11.0500,10.9000,3276,11.0500,445,2026-05-15
1453,大將,118,4,1344,11.4000,11.4000,4548,11.6000,1052,2026-05-15
1454,台富,129,3,1695,13.1500,13.1000,1058,13.1500,1820,2026-05-15
1455,集盛,786,9,6364,8.1000,8.1000,2695,8.1600,479,2026-05-15
1456,怡華,969,4,12934,13.3500,13.2500,1137,13.3500,1034,2026-05-15
1457,宜進,448,6,6337,14.1500,14.1000,4398,14.1500,2144,2026-05-15
1459,聯發,1256,7,14818,11.8000,11.8000,4580,11.8500,2248,2026-05-15
1460,宏遠,740,4,5193,7.0200,7.0200,4821,7.0800,4428,2026-05-15
1463,強盛新,1,1,17,17.8500,17.8500,2127,18.1000,1060,2026-05-15
1464,得力,60,6,610,10.2000,10.1500,3497,10.2000,4107,2026-05-15
1465,偉全,125,4,1506,12.0500,12.0000,4560,12.0500,875,2026-05-15
1466,聚隆,14,9,196,14.4000,14.3500,1596,14.4000,509,2026-05-15
1467,南緯,120,4,860,7.1900,7.1900,3472,7.5400,498,2026-05-15
1468,昶和,,,,,12.0000,1104,12.3000,372,2026-05-15
1470,大統新創,,,,,21.2500,1592,21.4000,1172,2026-05-15
1471,首利,1213,21,12730,10.5000,10.5000,967,10.6000,418,2026-05-15
1472,三洋實業,1,1,88,88.8000,88.8000,4495,89.5000,1188,2026-05-15
1473,台南,1365,33,27838,20.4000,20.4000,4756,21.0000,675,2026-05-15
1474,弘裕,20,1,200,10.0000,10.0000,4355,,,2026-05-15
1475,業旺,,,,,27.0000,847,27.0500,46,2026-05-15
1476,儒鴻,223,7,76935,345.0000,345.0000,5438,345.5000,1215,2026-05-15
1477,聚陽,1563,26,350112,224.0000,223.5000,9445,224.0000,7155,2026-05-15
1503,士電,1155,15,232155,201.0000,200.0000,8923,201.0000,2720,2026-05-15
1504,東元,2638,30,191775,72.7000,72.6000,15696,72.7000,4943,2026-05-15
1506,正道,2,2,20,10.2000,10.2000,557,10.2500,1129,2026-05-15
1512,瑞利,200,2,1391,6.9600,6.9200,1461,6.9600,2798,2026-05-15
1513,中興電,1895,35,292770,154.5000,154.5000,19559,155.0000,3239,2026-05-15
1514,亞力,5840,76,683280,117.0000,116.5000,7217,117.0000,4077,2026-05-15
1515,力山,165,2,3671,22.2500,22.2000,778,22.2500,3121,2026-05-15
1516,川飛,49,11,1057,21.7000,21.7000,2982,21.7500,969,2026-05-15
1517,利奇,397,6,4027,10.1500,10.1000,2173,10.1500,735,2026-05-15
1519,華城,1320,57,1156320,876.0000,876.0000,11221,880.0000,75,2026-05-15
1521,大億,398,9,9786,24.6000,24.5500,700,24.6000,736,2026-05-15
1522,堤維西,362,8,10948,30.2500,30.2500,2471,,,2026-05-15
1522A,堤維西甲特,,,,,50.0000,1543,50.3000,1115,2026-05-15
1524,耿鼎,1327,11,37949,28.6000,28.6000,4169,28.7500,303,2026-05-15
1525,江申,,,,,59.2000,2086,60.0000,933,2026-05-15
1526,日馳,327,5,4805,14.7000,14.6500,3095,14.7000,1415,2026-05-15
1527,鑽全,81,4,2634,32.5500,32.4000,4728,32.5500,1092,2026-05-15
1528,恩德,203,6,5154,25.4000,25.4000,1588,26.0000,101,2026-05-15
1529,樂事綠能,564,7,11785,20.9000,20.9000,3447,20.9500,496,2026-05-15
1530,亞崴,216,6,5690,26.3500,26.3500,2467,26.8000,1671,2026-05-15
1531,高林股,,,,,12.7000,2218,12.8500,260,2026-05-15
1532,勤美,,,,,20.2500,3371,20.3000,1401,2026-05-15
1533,車王電,117,4,4047,34.6000,34.5000,2035,34.6000,695,2026-05-15
1535,中宇,,,,,49.9500,2177,52.0000,987,2026-05-15
1536,和大,203,6,10453,51.5000,51.5000,10224,51.6000,25755,2026-05-15
1537,廣隆,,,,,125.5000,2890,126.5000,678,2026-05-15
1538,正峰,286,4,3416,11.9500,11.9500,1513,12.2000,329,2026-05-15
1539,巨庭,178,2,2759,15.5000,15.4000,2630,15.5000,1057,2026-05-15
1540,喬福,25,2,512,20.5000,20.3500,3290,20.5000,978,2026-05-15
1541,錩泰,,,,,22.0000,510,,,2026-05-15
1558,伸興,133,4,12074,90.8000,90.7000,3150,90.8000,804,2026-05-15
1560,中砂,996,51,647400,650.0000,650.0000,2855,653.0000,4028,2026-05-15
1563,巧新,65,2,2944,45.3000,45.2500,3706,45.3000,525,2026-05-15
1568,倉佑,18,1,512,28.4500,28.4000,3520,28.4500,750,2026-05-15
1582,信錦,1001,23,97493,97.4000,97.4000,10795,97.5000,1264,2026-05-15
1583,程泰,,,,,46.7500,1708,46.8500,1081,2026-05-15
1587,吉茂,232,9,6750,29.1000,28.9000,7595,29.1000,517,2026-05-15
1590,亞德客-KY,113,8,165545,1465.0000,1460.0000,980,1465.0000,1716,2026-05-15
1597,直得,467,20,85223,182.5000,182.5000,5598,183.0000,1105,2026-05-15
1598,岱宇,617,22,12509,20.3000,20.2500,1673,20.3000,2665,2026-05-15
1603,華電,2218,14,70752,31.9000,31.9000,3859,32.1500,1,2026-05-15
1604,聲寶,1157,19,26315,22.7500,22.7500,14844,22.8500,2778,2026-05-15
1605,華新,10775,74,383567,35.6000,35.6000,23932,35.6500,12067,2026-05-15
1608,華榮,318,6,10524,33.1000,33.0500,11781,33.1000,10025,2026-05-15
1609,大亞,5778,66,197006,34.1000,34.0500,23254,34.1000,10614,2026-05-15
1611,中電,1545,21,17527,11.3500,11.3000,11787,11.3500,464,2026-05-15
1612,宏泰,197,7,7157,36.3500,36.3500,7504,36.4000,655,2026-05-15
1614,三洋電,64,1,2012,31.4500,31.4500,4597,32.1500,223,2026-05-15
1615,大山,90,3,3905,43.4000,43.4000,2775,44.2500,108,2026-05-15
1616,億泰,,,,,21.7500,4797,22.2500,1743,2026-05-15
1617,榮星,,,,,15.0500,1841,15.6000,1183,2026-05-15
1618,合機,72,2,2789,38.7500,38.7500,2119,39.6000,87,2026-05-15
1623,大東電,4,2,900,225.0000,224.0000,750,225.0000,3,2026-05-15
1626,艾美特-KY,,,,,10.1500,2771,10.6000,1377,2026-05-15
1702,南僑,476,14,15943,33.5000,33.5000,5555,33.5500,1435,2026-05-15
1707,葡萄王,1272,40,138007,108.5000,108.0000,3855,108.5000,3050,2026-05-15
1708,東鹼,1905,24,77047,40.4500,40.2500,5790,40.4500,2922,2026-05-15
1709,和益,216,24,3963,18.4000,18.4000,10365,18.4500,2453,2026-05-15
1710,東聯,2730,18,32482,11.9000,11.8500,3407,11.9000,1137,2026-05-15
1711,永光,4388,51,222896,50.8000,50.8000,3919,50.9000,1603,2026-05-15
1712,興農,546,10,22601,41.4000,41.4000,3740,42.2000,371,2026-05-15
1713,國化,1,1,47,47.3000,47.3000,2000,47.4500,2332,2026-05-15
1714,和桐,3419,24,34190,10.0000,9.9900,4006,10.0000,2508,2026-05-15
1717,長興,4938,66,393050,79.6000,79.5000,13084,79.6000,5222,2026-05-15
1718,中纖,4934,37,32842,6.6600,6.6600,8798,6.6700,48687,2026-05-15
1720,生達,530,3,32701,61.7000,61.7000,5221,61.8000,877,2026-05-15
1721,三晃,2860,24,93515,32.7000,32.6500,4330,32.7000,1061,2026-05-15
1722,台肥,835,14,39245,47.0000,47.0000,11460,47.1000,10801,2026-05-15
1723,中碳,530,11,42556,80.3000,80.3000,5522,81.6000,299,2026-05-15
1725,元禎,100,1,3145,31.4500,31.2500,3989,31.4500,674,2026-05-15
1726,永記,14,2,1082,77.4000,77.4000,5845,77.8000,176,2026-05-15
1727,中華化,638,8,51040,80.0000,79.7000,8155,80.0000,275,2026-05-15
1730,花仙子,,,,,52.9000,1673,53.0000,367,2026-05-15
1731,美吾華,,,,,21.6000,2006,21.6500,356,2026-05-15
1732,毛寶,1,1,26,26.1000,26.1000,798,26.2500,236,2026-05-15
1733,五鼎,39,3,1122,28.8000,28.7500,2147,28.8000,780,2026-05-15
1734,杏輝,2383,17,72914,30.6000,30.6000,1714,30.6500,1516,2026-05-15
1735,日勝化,10,1,267,26.7500,26.7500,644,26.8000,35,2026-05-15
1736,喬山,130,4,15210,117.0000,116.5000,2242,117.0000,812,2026-05-15
1737,臺鹽,246,10,7746,31.5000,31.4500,3892,31.5000,1739,2026-05-15
1752,南光,,,,,33.0500,2338,33.1000,809,2026-05-15
1760,寶齡富錦,203,10,12541,61.8000,61.8000,2227,65.0000,636,2026-05-15
1762,中化生,100,5,3758,37.6000,37.0500,4654,37.6000,411,2026-05-15
1773,勝一,926,20,164361,177.5000,177.5000,2911,178.0000,1127,2026-05-15
1776,展宇,10,1,187,18.7000,18.7000,372444,,,2026-05-15
1783,和康生,51,2,1950,38.2500,38.2500,4555,38.4500,1271,2026-05-15
1786,科妍,21,3,1093,52.1000,52.1000,3567,53.0000,546,2026-05-15
1789,神隆,729,7,13958,19.1500,19.1500,2374,19.2500,231,2026-05-15
1795,美時,4067,46,811360,199.5000,199.0000,8926,199.5000,4911,2026-05-15
1802,台玻,6963,80,467899,67.2000,67.2000,44863,67.5000,1888,2026-05-15
1805,寶徠,22,1,225,10.2500,10.2500,3695,10.3000,1999,2026-05-15
1806,冠軍,800,5,6485,8.1100,8.1100,4495,8.1200,1800,2026-05-15
1808,潤隆,4936,23,145355,29.4500,29.3500,7347,29.4500,2480,2026-05-15
1809,中釉,2030,20,79772,39.3000,39.3000,3589,39.6000,691,2026-05-15
1810,和成,669,5,12475,18.6500,18.6500,5770,18.7000,2548,2026-05-15
1817,凱撒衛,,,,,39.5500,3390,41.7000,1043,2026-05-15
1903,士紙,342,10,16259,47.5500,47.5000,2532,47.5500,533,2026-05-15
1904,正隆,5494,73,109297,19.9000,19.9000,25199,19.9500,19998,2026-05-15
1905,華紙,1855,20,22345,12.0500,12.0500,29588,12.1500,250,2026-05-15
1906,寶隆,50,23,522,10.7500,10.7500,2428,10.9000,694,2026-05-15
1907,永豐餘,524,11,12807,24.4500,24.4000,17394,24.4500,15296,2026-05-15
1909,榮成,1943,15,17382,8.9500,8.9200,37547,8.9500,36675,2026-05-15
2002,中鋼,19392,190,354812,18.3000,18.3000,71621,18.3500,89243,2026-05-15
2002A,中鋼特,100,1,3880,38.8000,38.6500,629,38.8000,2016,2026-05-15
2006,東和鋼鐵,1294,17,85144,65.8000,65.8000,13214,66.0000,8345,2026-05-15
2007,燁興,99,1,703,7.1100,7.0900,4683,7.1100,2083,2026-05-15
2008,高興昌,1031,5,27990,27.1500,27.1500,7599,27.6000,1643,2026-05-15
2009,第一銅,799,18,32393,40.5500,40.5000,2840,40.5500,1346,2026-05-15
2010,春源,1045,4,24557,23.5000,23.3500,2845,23.5000,157,2026-05-15
2012,春雨,1,1,14,14.7500,14.7500,1257,14.8500,1434,2026-05-15
2013,中鋼構,637,7,27134,42.6000,42.6000,1867,42.6500,208,2026-05-15
2014,中鴻,1865,14,33193,17.8000,17.8000,24384,17.8500,1498,2026-05-15
2015,豐興,110,3,6952,63.2000,63.2000,3664,63.3000,222,2026-05-15
2017,官田鋼,937,9,8166,8.7200,8.7000,3878,8.7200,3246,2026-05-15
2020,美亞,200,5,4377,21.9000,21.8500,6649,21.9000,1233,2026-05-15
2022,聚亨,1253,24,9882,7.9000,7.9000,8200,7.9200,4175,2026-05-15
2023,燁輝,5569,58,77095,13.8500,13.8500,8488,13.9000,4787,2026-05-15
2024,志聯,623,23,8244,13.2500,13.2500,3052,13.4500,1601,2026-05-15
2025,千興,1380,10,16834,12.2000,12.2000,5629,12.2500,4037,2026-05-15
2027,大成鋼,9469,72,374946,39.6000,39.6000,25471,39.6500,98222,2026-05-15
2028,威致,16,2,265,16.6500,16.6500,1726,16.7000,765,2026-05-15
2029,盛餘,110,2,2222,20.2000,20.1000,2510,20.2000,1077,2026-05-15
2030,彰源,644,9,11492,17.8500,17.8500,14607,18.0000,4302,2026-05-15
2031,新光鋼,351,11,13563,38.6500,38.6500,5453,39.3000,1245,2026-05-15
2032,新鋼,668,9,11221,16.8000,16.8000,3019,16.9500,1044,2026-05-15
2033,佳大,784,6,11639,14.8500,14.8500,3816,15.0500,124,2026-05-15
2034,允強,1948,13,38856,19.9500,19.9500,4262,20.0500,1317,2026-05-15
2038,海光,1332,6,18112,13.6000,13.6000,3928,14.0000,1026,2026-05-15
2049,上銀,3740,94,1404351,375.5000,375.5000,9546,376.0000,4045,2026-05-15
2059,川湖,401,66,2015025,5025.0000,5020.0000,1996,5025.0000,666,2026-05-15
2062,橋椿,,,,,19.6500,1143,19.8500,379,2026-05-15
2069,運錩,103,3,2060,20.0000,20.0000,2524,20.1000,696,2026-05-15
2072,世紀風電,1223,15,206687,169.0000,168.0000,950,169.0000,191,2026-05-15
2101,南港,3927,27,125851,32.0500,32.0500,7504,32.5000,5875,2026-05-15
2102,泰豐,2315,49,42231,18.2500,18.2500,5963,18.3500,2323,2026-05-15
2103,台橡,3554,20,77826,21.9000,21.9000,10674,22.0000,2688,2026-05-15
2104,國際中橡,1154,8,11513,9.9800,9.9700,6420,9.9800,4924,2026-05-15
2105,正新,2353,28,74815,31.8000,31.8000,18909,31.8500,10984,2026-05-15
2106,建大,4809,52,81492,16.9500,16.9000,6007,16.9500,3972,2026-05-15
2107,厚生,2960,16,74881,25.3000,25.3000,4997,25.4500,2212,2026-05-15
2108,南帝,84,2,2342,27.9000,27.9000,4048,27.9500,1478,2026-05-15
2109,華豐,16,3,224,14.0000,14.0000,1043,,,2026-05-15
2114,鑫永銓,,,,,87.7000,1964,88.0000,2813,2026-05-15
2115,六暉-KY,633,4,12880,20.3500,20.3500,3816,21.6500,2206,2026-05-15
2201,裕隆,2495,30,67858,27.2000,27.1500,17978,27.2000,21234,2026-05-15
2204,中華,867,20,45339,52.3000,52.3000,3256,52.6000,1024,2026-05-15
2206,三陽工業,943,23,54877,58.2000,58.2000,2264,58.3000,1285,2026-05-15
2207,和泰車,351,13,166023,473.0000,473.0000,4551,474.0000,1661,2026-05-15
2208,台船,2011,20,39711,19.7500,19.7500,3523,19.8000,622,2026-05-15
2211,長榮鋼,1,1,97,97.3000,97.3000,2387,98.8000,2238,2026-05-15
2227,裕日車,229,8,11367,49.6500,49.6000,2199,49.6500,813,2026-05-15
2228,劍麟,160,11,13323,83.3000,83.3000,3423,85.5000,94,2026-05-15
2231,為升,669,20,71245,106.5000,106.5000,7622,107.0000,2000,2026-05-15
2233,宇隆,366,10,105042,287.0000,287.0000,2703,291.5000,1944,2026-05-15
2236,百達-KY,,,,,137.0000,4346,138.5000,335,2026-05-15
2239,英利-KY,,,,,21.4000,2339,21.7000,753,2026-05-15
2241,艾姆勒,9,2,294,32.8500,32.8500,1397,35.9000,252,2026-05-15
2243,宏旭-KY,12,1,253,21.1000,21.0000,859,21.1000,784,2026-05-15
2247,汎德永業,242,4,50820,210.0000,209.5000,2332,210.0000,957,2026-05-15
2248,華勝-KY,,,,,54.7000,1300,,,2026-05-15
2250,IKKA-KY,100,1,6250,62.5000,62.1000,2158,62.5000,300,2026-05-15
2254,巨鎧精密-創,,,,,57.4000,1998,58.7000,331,2026-05-15
2258,鴻華先進-創,380,4,10752,28.3000,28.3000,4243,31.9500,999,2026-05-15
2301,光寶科,9427,184,1970243,209.0000,208.5000,23429,209.0000,4730,2026-05-15
2302,麗正,2143,22,54105,25.2500,25.2000,4546,25.2500,1276,2026-05-15
2303,聯電,161652,708,17458416,108.0000,108.0000,23599040,,,2026-05-15
2305,全友,520,5,8499,16.3500,16.3500,1016,16.4000,418,2026-05-15
2308,台達電,14103,647,30532995,2165.0000,2165.0000,40706,2170.0000,3201,2026-05-15
2312,金寶,5164,42,146130,28.3000,28.3000,20441,28.3500,13897,2026-05-15
2313,華通,9482,180,2327798,245.5000,245.5000,12885,246.0000,10610,2026-05-15
2314,台揚,2501,23,31505,12.6000,12.6000,7825,12.7000,2331,2026-05-15
2316,楠梓電,5109,72,684606,134.0000,134.0000,12934,134.5000,6288,2026-05-15
2317,鴻海,52228,790,12821850,245.5000,245.5000,118111,246.0000,21861,2026-05-15
2321,東訊,818,6,10428,12.7500,12.7500,1970,12.8500,1949,2026-05-15
2323,中環,7630,48,76200,9.9900,9.9900,36524,10.0000,36270,2026-05-15
2324,仁寶,2601,45,78922,30.3500,30.3500,34441,30.4000,95093,2026-05-15
2327,國巨*,29375,226,13571250,462.0000,462.0000,7246438,,,2026-05-15
2328,廣宇,1142,18,59152,51.8000,51.8000,11271,51.9000,1182,2026-05-15
2329,華泰,2700,26,157671,58.4000,58.4000,12398,58.6000,2219,2026-05-15
2330,台積電,56100,2107,127347000,2270.0000,2265.0000,71069,2270.0000,34751,2026-05-15
2331,精英,1209,11,24056,19.9000,19.9000,17557,20.5000,667,2026-05-15
2332,友訊,1571,12,21595,13.7500,13.7000,24616,13.7500,12416,2026-05-15
2337,旺宏,46979,477,7939451,169.0000,169.0000,38229,169.5000,21754,2026-05-15
2338,光罩,1588,14,76775,48.3500,48.3500,14812,48.6000,12916,2026-05-15
2340,台亞,2121,22,77092,36.3500,36.3000,9604,36.3500,907,2026-05-15
2342,茂矽,2330,40,98428,42.2500,42.2500,2692,42.4500,242,2026-05-15
2344,華邦電,82169,707,11010646,134.0000,134.0000,539578,,,2026-05-15
2345,智邦,2618,86,7003150,2675.0000,2660.0000,823,2675.0000,1504,2026-05-15
2347,聯強,1355,19,112593,83.1000,83.1000,7457,83.3000,5295,2026-05-15
2348,海悅,609,10,42505,69.8000,69.8000,2871,70.5000,756,2026-05-15
2348A,海悅甲特,65,1,2470,38.0000,37.8500,1654,38.0000,1045,2026-05-15
2349,錸德,5250,29,65621,12.5000,12.5000,8688,12.6000,7903,2026-05-15
2351,順德,1090,17,199470,183.0000,182.0000,4770,183.0000,673,2026-05-15
2352,佳世達,7093,68,181201,25.5500,25.5500,14671,25.6000,20977,2026-05-15
2353,宏碁,6619,57,185332,28.0000,28.0000,29574,28.0500,18553,2026-05-15
2354,鴻準,6419,75,380628,59.3000,59.2000,24311,59.3000,19490,2026-05-15
2355,敬鵬,2904,40,156509,53.9000,53.9000,12692,54.0000,8264,2026-05-15
2356,英業達,10602,114,563989,53.2000,53.2000,25985,53.3000,8848,2026-05-15
2357,華碩,4513,78,3059814,678.0000,677.0000,3458,678.0000,7741,2026-05-15
2359,所羅門,598,15,74152,124.0000,124.0000,6002,127.5000,30,2026-05-15
2360,致茂,1275,111,2907000,2280.0000,2280.0000,4140,2290.0000,603,2026-05-15
2362,藍天,112,4,4395,39.2500,39.2000,4066,39.2500,1184,2026-05-15
2363,矽統,13002,89,817801,62.9000,62.8000,16176,62.9000,12378,2026-05-15
2364,倫飛,108,7,7452,69.0000,68.7000,7295,69.3000,2054,2026-05-15
2365,昆盈,85,6,2994,35.2500,35.1000,7700,35.2500,2980,2026-05-15
2367,燿華,8013,80,522434,65.2000,65.2000,10711,65.3000,19671,2026-05-15
2368,金像電,2787,117,3999345,1435.0000,1430.0000,3325,1435.0000,2323,2026-05-15
2369,菱生,904,20,27340,30.2500,30.2500,2704,30.3500,173,2026-05-15
2371,大同,13072,116,379710,29.0500,29.0500,34840,29.1000,9787,2026-05-15
2373,震旦行,,,,,55.8000,5422,55.9000,1098,2026-05-15
2374,佳能,5059,47,406222,80.3000,80.3000,5409,80.4000,3718,2026-05-15
2375,凱美,7569,56,764469,101.0000,100.5000,12621,101.0000,4995,2026-05-15
2376,技嘉,6572,145,2152298,327.5000,327.5000,10471,328.0000,4858,2026-05-15
2377,微星,6322,104,745996,118.0000,118.0000,41744,119.0000,5734,2026-05-15
2379,瑞昱,2727,75,1568025,575.0000,575.0000,5526,576.0000,615,2026-05-15
2380,虹光,1,1,5,5.8100,5.8100,2430,5.8500,1218,2026-05-15
2382,廣達,5485,144,1842960,336.0000,336.0000,27608,336.5000,3810,2026-05-15
2383,台光電,1276,105,6316200,4950.0000,4945.0000,3412,4950.0000,2197,2026-05-15
2385,群光,1172,23,149427,127.5000,127.0000,6603,127.5000,3796,2026-05-15
2387,精元,148,3,5704,38.5500,38.5500,3598,38.8000,278,2026-05-15
2388,威盛,1703,19,129082,75.8000,75.7000,7288,75.8000,1218,2026-05-15
2390,云辰,1065,12,10601,9.9600,9.9600,3804,10.0000,4920,2026-05-15
2392,正崴,1239,18,42619,34.4000,,,34.4000,44300,2026-05-15
2393,億光,3006,28,198396,66.0000,66.0000,7308,70.0000,766,2026-05-15
2395,研華,2099,38,978134,466.0000,466.0000,6024,466.5000,1130,2026-05-15
2397,友通,150,3,9195,61.3000,61.3000,1666,,,2026-05-15
2399,映泰,2666,32,125302,47.0000,47.0000,12540,47.0500,1461,2026-05-15
2401,凌陽,255,8,6375,25.0000,25.0000,14080,25.6500,31724,2026-05-15
2402,毅嘉,156,6,10684,68.5000,68.5000,5696,69.8000,58,2026-05-15
2404,漢唐,5257,229,5519850,1050.0000,1050.0000,4375,1055.0000,6505,2026-05-15
2405,輔信,105,3,1580,15.0500,15.0500,2992,15.3000,590,2026-05-15
2406,國碩,2604,26,82927,31.8500,31.8000,7637,31.8500,3241,2026-05-15
2408,南亞科,30977,541,10563157,341.0000,340.5000,40481,341.0000,23346,2026-05-15
2409,友達,26834,179,524536,19.5500,19.5500,67238,19.6000,14180,2026-05-15
2412,中華電,4421,53,605677,137.0000,137.0000,15713,137.5000,16839,2026-05-15
2413,環科,554,4,23903,43.1500,43.1500,2466,43.8500,857,2026-05-15
2414,精技,975,12,47477,48.7000,48.7000,3537,49.0000,1416,2026-05-15
2415,錩新,10,1,267,26.7500,26.6000,2951,26.7500,1880,2026-05-15
2417,圓剛,1450,23,71115,49.0500,49.0000,6894,49.0500,1247,2026-05-15
2419,仲琦,1295,17,37940,29.3000,29.3000,1932,29.3500,930,2026-05-15
2420,新巨,280,5,15960,57.0000,56.7000,1941,57.0000,1484,2026-05-15
2421,建準,1111,24,162206,146.0000,146.0000,7056,146.5000,13052,2026-05-15
2423,固緯,796,7,58425,73.4000,73.4000,54049,,,2026-05-15
2424,隴華,412,5,9762,23.7000,23.7000,3800,,,2026-05-15
2425,承啟,58,6,2089,36.0500,36.0500,4614,36.9000,200,2026-05-15
2426,鼎元,3394,26,228069,67.2000,67.2000,4659,68.0000,440,2026-05-15
2427,三商電,222,6,4691,21.1500,21.1500,3746,21.3500,19,2026-05-15
2428,興勤,2068,29,438416,212.0000,212.0000,7382,213.0000,878,2026-05-15
2429,銘旺科,26,2,1404,54.0000,54.0000,216140,,,2026-05-15
2430,燦坤,597,10,11490,19.2500,18.9000,7297,19.2500,2135,2026-05-15
2431,聯昌,100,10,1031,10.3500,10.3000,1798,10.3500,676,2026-05-15
2432,倚天酷碁-創,,,,,26.1000,899,,,2026-05-15
2433,互盛電,189,1,8694,46.0000,45.3500,2566,46.0000,527,2026-05-15
2434,統懋,,,,,30.1500,3796,30.4000,2385,2026-05-15
2436,偉詮電,2149,36,153428,71.4000,71.4000,24256,73.0000,207,2026-05-15
2438,翔耀,124,3,2621,21.1500,21.0000,1449,21.1500,682,2026-05-15
2439,美律,1509,20,127052,84.2000,84.2000,7075,84.8000,6773,2026-05-15
2440,太空梭,,,,,16.9000,3100,17.0000,1641,2026-05-15
2441,超豐,3363,44,343026,102.0000,102.0000,19380,103.5000,4547,2026-05-15
2442,新美齊,667,12,12137,18.2000,18.2000,10361,18.2500,1994,2026-05-15
2444,兆勁,79,3,1046,13.2500,13.1000,4405,13.2500,651,2026-05-15
2449,京元電子,14384,225,4286432,298.0000,298.0000,89785,301.0000,2309,2026-05-15
2450,神腦,,,,,29.5000,856,29.7000,642,2026-05-15
2451,創見,3990,72,1376550,345.0000,344.5000,6811,345.0000,1585,2026-05-15
2453,凌群,15,5,826,55.1000,54.9000,3185,55.1000,533,2026-05-15
2454,聯發科,10692,673,36620100,3425.0000,3425.0000,50319,3430.0000,9164,2026-05-15
2455,全新,4793,94,1725480,360.0000,359.5000,6977,360.0000,1893,2026-05-15
2457,飛宏,959,13,23730,24.7500,24.7500,15264,24.8000,52884,2026-05-15
2458,義隆,1682,33,253137,150.5000,150.0000,5191,150.5000,2881,2026-05-15
2459,敦吉,100,4,6580,65.8000,65.8000,1725,67.0000,190,2026-05-15
2460,建通,505,13,16963,33.6000,33.6000,4173,33.7500,120,2026-05-15
2461,光群雷,206,5,3325,16.1500,16.1000,3027,16.1500,387,2026-05-15
2462,良得電,2,2,40,20.1500,20.1500,1280,21.3000,119,2026-05-15
2464,盟立,1859,37,213785,115.0000,115.0000,6829,115.5000,222,2026-05-15
2465,麗臺,200,6,16600,83.0000,82.7000,2754,83.0000,457,2026-05-15
2466,冠西電,,,,,48.8000,2043,,,2026-05-15
2467,志聖,1408,41,865920,615.0000,615.0000,5611,617.0000,603,2026-05-15
2468,華經,1,1,32,32.8500,32.8500,1600,32.9000,598,2026-05-15
2471,資通,20,2,1035,51.8000,50.4000,3031,,,2026-05-15
2472,立隆電,3324,66,769495,231.5000,231.5000,3583,232.0000,1294,2026-05-15
2474,可成,1252,15,241636,193.0000,193.0000,11678,194.5000,998,2026-05-15
2476,鉅祥,1125,15,135000,120.0000,120.0000,4656,120.5000,212,2026-05-15
2477,美隆電,15,1,312,20.8500,20.7500,3844,20.8500,1138,2026-05-15
2478,大毅,1312,18,107841,82.2000,82.2000,8692,82.4000,980,2026-05-15
2480,敦陽科,601,9,89549,149.0000,149.0000,7124,150.0000,2487,2026-05-15
2481,強茂,5218,62,605288,116.0000,116.0000,20638,119.0000,6058,2026-05-15
2482,連宇,1,1,16,16.6000,16.6000,2854,17.8000,396,2026-05-15
2483,百容,1,1,24,24.1000,24.1000,548,24.3000,481,2026-05-15
2484,希華,1308,12,50092,38.3000,38.2000,2337,38.3000,85,2026-05-15
