Date,Class,Type,TradeVolume,MarketSharePer,TradeValue,date
1150513,配對交易,股票組合,,,,2026-05-17
1150514,逐筆交易,單一證券,,,,2026-05-17
1150514,逐筆交易,股票組合,,,,2026-05-17
1150514,配對交易,單一證券,15858000,1.32,,2026-05-17
1150514,配對交易,股票組合,,,,2026-05-17
1150515,逐筆交易,單一證券,,,,2026-05-17
1150515,逐筆交易,股票組合,,,,2026-05-17
1150515,配對交易,單一證券,10752265,0.68,,2026-05-17
1150515,配對交易,股票組合,3104000,0.01,,2026-05-17
1150504,逐筆交易,單一證券,,,,2026-05-17
1150504,逐筆交易,股票組合,,,,2026-05-17
1150504,配對交易,單一證券,15843836,0.96,,2026-05-17
1150504,配對交易,股票組合,,,,2026-05-17
1150505,逐筆交易,單一證券,,,,2026-05-17
1150505,逐筆交易,股票組合,,,,2026-05-17
1150505,配對交易,單一證券,14539000,1.22,,2026-05-17
1150505,配對交易,股票組合,,,,2026-05-17
1150506,逐筆交易,單一證券,,,,2026-05-17
1150506,逐筆交易,股票組合,,,,2026-05-17
1150506,配對交易,單一證券,74083288,1.13,,2026-05-17
1150506,配對交易,股票組合,,,,2026-05-17
1150507,逐筆交易,單一證券,,,,2026-05-17
1150507,逐筆交易,股票組合,,,,2026-05-17
1150507,配對交易,單一證券,15413000,0.95,,2026-05-17
1150507,配對交易,股票組合,,,,2026-05-17
1150508,逐筆交易,單一證券,,,,2026-05-17
1150508,逐筆交易,股票組合,,,,2026-05-17
1150508,配對交易,單一證券,9547500,0.49,,2026-05-17
1150508,配對交易,股票組合,6321000,0.12,,2026-05-17
1150511,逐筆交易,單一證券,,,,2026-05-17
1150511,逐筆交易,股票組合,,,,2026-05-17
1150511,配對交易,單一證券,16779000,0.61,,2026-05-17
1150511,配對交易,股票組合,,,,2026-05-17
1150512,逐筆交易,單一證券,903800,0.01,,2026-05-17
1150512,逐筆交易,股票組合,,,,2026-05-17
1150512,配對交易,單一證券,12265732,1.32,,2026-05-17
1150512,配對交易,股票組合,,,,2026-05-17
1150513,逐筆交易,單一證券,,,,2026-05-17
1150513,逐筆交易,股票組合,,,,2026-05-17
1150513,配對交易,單一證券,18594104,1.06,,2026-05-17
1150513,配對交易,股票組合,,,,2026-05-17
1150514,逐筆交易,單一證券,,,,2026-05-17
1150514,逐筆交易,股票組合,,,,2026-05-17
1150514,配對交易,單一證券,15858000,1.32,,2026-05-17
1150514,配對交易,股票組合,,,,2026-05-17
1150515,逐筆交易,單一證券,,,,2026-05-17
1150515,逐筆交易,股票組合,,,,2026-05-17
1150515,配對交易,單一證券,10752265,0.68,,2026-05-17
1150515,配對交易,股票組合,3104000,0.01,,2026-05-17
1150504,逐筆交易,單一證券,,,,2026-05-18
1150504,逐筆交易,股票組合,,,,2026-05-18
1150504,配對交易,單一證券,15843836,0.96,,2026-05-18
1150504,配對交易,股票組合,,,,2026-05-18
1150505,逐筆交易,單一證券,,,,2026-05-18
1150505,逐筆交易,股票組合,,,,2026-05-18
1150505,配對交易,單一證券,14539000,1.22,,2026-05-18
1150505,配對交易,股票組合,,,,2026-05-18
1150506,逐筆交易,單一證券,,,,2026-05-18
1150506,逐筆交易,股票組合,,,,2026-05-18
1150506,配對交易,單一證券,74083288,1.13,,2026-05-18
1150506,配對交易,股票組合,,,,2026-05-18
1150507,逐筆交易,單一證券,,,,2026-05-18
1150507,逐筆交易,股票組合,,,,2026-05-18
1150507,配對交易,單一證券,15413000,0.95,,2026-05-18
1150507,配對交易,股票組合,,,,2026-05-18
1150508,逐筆交易,單一證券,,,,2026-05-18
1150508,逐筆交易,股票組合,,,,2026-05-18
1150508,配對交易,單一證券,9547500,0.49,,2026-05-18
1150508,配對交易,股票組合,6321000,0.12,,2026-05-18
1150511,逐筆交易,單一證券,,,,2026-05-18
1150511,逐筆交易,股票組合,,,,2026-05-18
1150511,配對交易,單一證券,16779000,0.61,,2026-05-18
1150511,配對交易,股票組合,,,,2026-05-18
1150512,逐筆交易,單一證券,903800,0.01,,2026-05-18
1150512,逐筆交易,股票組合,,,,2026-05-18
1150512,配對交易,單一證券,12265732,1.32,,2026-05-18
1150512,配對交易,股票組合,,,,2026-05-18
1150513,逐筆交易,單一證券,,,,2026-05-18
1150513,逐筆交易,股票組合,,,,2026-05-18
1150513,配對交易,單一證券,18594104,1.06,,2026-05-18
1150513,配對交易,股票組合,,,,2026-05-18
1150514,逐筆交易,單一證券,,,,2026-05-18
1150514,逐筆交易,股票組合,,,,2026-05-18
1150514,配對交易,單一證券,15858000,1.32,,2026-05-18
1150514,配對交易,股票組合,,,,2026-05-18
1150515,逐筆交易,單一證券,,,,2026-05-18
1150515,逐筆交易,股票組合,,,,2026-05-18
1150515,配對交易,單一證券,10752265,0.68,,2026-05-18
1150515,配對交易,股票組合,3104000,0.01,,2026-05-18
